lemma,count,Movement
Tsai,1,Authoritarianism
‘Decree,1,Authoritarianism
Green,1,Authoritarianism
Recep,1,Authoritarianism
Nicolas,2,Authoritarianism
R,1,Authoritarianism
Applebaum’s,1,Authoritarianism
Tayyip,1,Authoritarianism
Xi,1,Authoritarianism
Reem,1,Authoritarianism
Biden,2,Authoritarianism
Maduro,1,Authoritarianism
Johnson’s,1,Authoritarianism
Desouky,1,Authoritarianism
Bernie,1,Authoritarianism
Maduro’s,1,Authoritarianism
Aleksandr,4,Authoritarianism
Lukashenko,5,Authoritarianism
Boris,1,Authoritarianism
Jack,1,Authoritarianism
Jr,1,Authoritarianism
Beret,1,Authoritarianism
Reich,1,Authoritarianism
Abby,1,Authoritarianism
Anne,1,Authoritarianism
Joseph,1,Authoritarianism
Lindstedt,1,Authoritarianism
Erdogan,2,Authoritarianism
Victor,1,Authoritarianism
Weare,1,Authoritarianism
Trump,5,Authoritarianism
Ren,1,Authoritarianism
Jinping,2,Authoritarianism
Zhiqiang,1,Authoritarianism
Anna,1,Authoritarianism
Ma,1,Authoritarianism
Twilight,1,Authoritarianism
Ahmed,1,Authoritarianism
Hitler,1,Authoritarianism
Sanders,1,Authoritarianism
Orban,1,Authoritarianism
