Movement,Count,Month,Year
Communism,11,1,2010
Communism,5,2,2010
Communism,11,3,2010
Communism,15,4,2010
Communism,6,5,2010
Communism,11,6,2010
Communism,9,7,2010
Communism,13,8,2010
Communism,14,9,2010
Communism,20,10,2010
Communism,12,11,2010
Communism,12,12,2010
Communism,15,1,2011
Communism,5,2,2011
Communism,8,3,2011
Communism,15,4,2011
Communism,18,5,2011
Communism,18,6,2011
Communism,14,7,2011
Communism,10,8,2011
Communism,9,9,2011
Communism,12,10,2011
Communism,9,11,2011
Communism,21,12,2011
Communism,18,1,2012
Communism,15,2,2012
Communism,32,3,2012
Communism,21,4,2012
Communism,19,5,2012
Communism,16,6,2012
Communism,14,7,2012
Communism,15,8,2012
Communism,23,9,2012
Communism,25,10,2012
Communism,45,11,2012
Communism,14,12,2012
Communism,24,1,2013
Communism,13,2,2013
Communism,14,3,2013
Communism,17,4,2013
Communism,16,5,2013
Communism,19,6,2013
Communism,10,7,2013
Communism,32,8,2013
Communism,15,9,2013
Communism,31,10,2013
Communism,31,11,2013
Communism,25,12,2013
Communism,20,1,2014
Communism,15,2,2014
Communism,19,3,2014
Communism,17,4,2014
Communism,27,5,2014
Communism,24,6,2014
Communism,21,7,2014
Communism,14,8,2014
Communism,20,9,2014
Communism,30,10,2014
Communism,25,11,2014
Communism,25,12,2014
Communism,30,1,2015
Communism,20,2,2015
Communism,19,3,2015
Communism,22,4,2015
Communism,5,5,2015
Communism,13,6,2015
Communism,25,7,2015
Communism,11,8,2015
Communism,14,9,2015
Communism,23,10,2015
Communism,28,11,2015
Communism,22,12,2015
Communism,19,1,2016
Communism,14,2,2016
Communism,20,3,2016
Communism,15,4,2016
Communism,20,5,2016
Communism,13,6,2016
Communism,15,7,2016
Communism,22,8,2016
Communism,15,9,2016
Communism,17,10,2016
Communism,16,11,2016
Communism,10,12,2016
Communism,14,1,2017
Communism,15,2,2017
Communism,12,3,2017
Communism,18,4,2017
Communism,15,5,2017
Communism,8,6,2017
Communism,14,7,2017
Communism,14,8,2017
Communism,13,9,2017
Communism,28,10,2017
Communism,14,11,2017
Communism,8,12,2017
Communism,19,1,2018
Communism,18,2,2018
Communism,24,3,2018
Communism,16,4,2018
Communism,11,5,2018
Communism,9,6,2018
Communism,7,7,2018
Communism,6,8,2018
Communism,11,9,2018
Communism,13,10,2018
Communism,8,11,2018
Communism,9,12,2018
Communism,9,1,2019
Communism,11,2,2019
Communism,8,3,2019
Communism,6,4,2019
Communism,11,5,2019
Communism,11,6,2019
Communism,10,7,2019
Communism,9,8,2019
Communism,19,9,2019
Communism,26,10,2019
Communism,14,11,2019
Communism,5,12,2019
Communism,10,1,2020
Communism,20,2,2020
Communism,11,3,2020
Communism,10,4,2020
Communism,13,5,2020
Communism,9,6,2020
Communism,22,7,2020
Communism,15,8,2020
Communism,7,9,2020
Communism,11,10,2020
Communism,8,11,2020
Communism,7,12,2020
