lemma,count,Movement
Igor,1,Communism
Scott,1,Communism
Heaton,1,Communism
Bin,1,Communism
Anderson,1,Communism
bad,1,Communism
Brennan’s,1,Communism
Tye,1,Communism
China’s,2,Communism
R,1,Communism
Mike,1,Communism
Guaidó,1,Communism
The,1,Communism
Suleiman,1,Communism
David,1,Communism
Xi,6,Communism
McCarthy,1,Communism
Lee,1,Communism
Juan,1,Communism
Biden,2,Communism
Xu,2,Communism
Observer,1,Communism
Sidney,1,Communism
Jonathan,1,Communism
Duda’s,1,Communism
Mao,1,Communism
Aleksei,1,Communism
John,2,Communism
Larry,1,Communism
Amphan,2,Communism
"“Undaunted,”",1,Communism
Jaein,1,Communism
Ken,1,Communism
Daniel,1,Communism
Gorbachev,1,Communism
Senator,1,Communism
I’ve,1,Communism
Bernie,2,Communism
Mikhail,1,Communism
Full,1,Communism
Pompeo,1,Communism
Mary,1,Communism
Maduro’s,1,Communism
Navalny,1,Communism
“At,1,Communism
Du,1,Communism
Cai,1,Communism
Venezuelans,1,Communism
Miller,1,Communism
Hillary,1,Communism
Hu,1,Communism
Dude,2,Communism
Kania,1,Communism
Chute,1,Communism
Qaderi,1,Communism
Andrzej,2,Communism
Spike,1,Communism
Zhangrun,2,Communism
Bobby,1,Communism
Moon,1,Communism
Hogs,1,Communism
Gui,1,Communism
Bolton,1,Communism
Nora,1,Communism
Rivera,1,Communism
Jr,1,Communism
Powell,1,Communism
Heres,3,Communism
O,1,Communism
Donald,1,Communism
Bond,1,Communism
Wang,1,Communism
Joseph,2,Communism
Jinping’s,1,Communism
Minutes,1,Communism
Zhenhua,1,Communism
Fischer,1,Communism
Kovacs,1,Communism
Stalin’s,1,Communism
Jie,1,Communism
Layer,1,Communism
Swan,1,Communism
Joon,1,Communism
Trump,5,Communism
Homeira,1,Communism
Ren,5,Communism
Jinping,6,Communism
Cheryl,1,Communism
Zhiqiang,5,Communism
Laius,1,Communism
Tuleta,1,Communism
‘Parasite’,1,Communism
Xia,1,Communism
Obama,1,Communism
Sanders,2,Communism
