Movement,Count,Month,Year
Conservatism,46,1,2010
Conservatism,59,2,2010
Conservatism,82,3,2010
Conservatism,57,4,2010
Conservatism,78,5,2010
Conservatism,48,6,2010
Conservatism,44,7,2010
Conservatism,37,8,2010
Conservatism,68,9,2010
Conservatism,58,10,2010
Conservatism,58,11,2010
Conservatism,38,12,2010
Conservatism,65,1,2011
Conservatism,56,2,2011
Conservatism,51,3,2011
Conservatism,52,4,2011
Conservatism,45,5,2011
Conservatism,47,6,2011
Conservatism,67,7,2011
Conservatism,35,8,2011
Conservatism,42,9,2011
Conservatism,54,10,2011
Conservatism,70,11,2011
Conservatism,62,12,2011
Conservatism,113,1,2012
Conservatism,110,2,2012
Conservatism,105,3,2012
Conservatism,59,4,2012
Conservatism,75,5,2012
Conservatism,62,6,2012
Conservatism,46,7,2012
Conservatism,83,8,2012
Conservatism,45,9,2012
Conservatism,68,10,2012
Conservatism,56,11,2012
Conservatism,44,12,2012
Conservatism,57,1,2013
Conservatism,52,2,2013
Conservatism,60,3,2013
Conservatism,51,4,2013
Conservatism,80,5,2013
Conservatism,49,6,2013
Conservatism,45,7,2013
Conservatism,27,8,2013
Conservatism,57,9,2013
Conservatism,71,10,2013
Conservatism,40,11,2013
Conservatism,49,12,2013
Conservatism,40,1,2014
Conservatism,40,2,2014
Conservatism,54,3,2014
Conservatism,41,4,2014
Conservatism,60,5,2014
Conservatism,59,6,2014
Conservatism,69,7,2014
Conservatism,45,8,2014
Conservatism,36,9,2014
Conservatism,49,10,2014
Conservatism,36,11,2014
Conservatism,33,12,2014
Conservatism,49,1,2015
Conservatism,55,2,2015
Conservatism,76,3,2015
Conservatism,49,4,2015
Conservatism,74,5,2015
Conservatism,51,6,2015
Conservatism,56,7,2015
Conservatism,56,8,2015
Conservatism,65,9,2015
Conservatism,77,10,2015
Conservatism,49,11,2015
Conservatism,48,12,2015
Conservatism,80,1,2016
Conservatism,72,2,2016
Conservatism,49,3,2016
Conservatism,37,4,2016
Conservatism,48,5,2016
Conservatism,36,6,2016
Conservatism,62,7,2016
Conservatism,38,8,2016
Conservatism,28,9,2016
Conservatism,42,10,2016
Conservatism,45,11,2016
Conservatism,24,12,2016
Conservatism,45,1,2017
Conservatism,54,2,2017
Conservatism,70,3,2017
Conservatism,56,4,2017
Conservatism,66,5,2017
Conservatism,53,6,2017
Conservatism,49,7,2017
Conservatism,40,8,2017
Conservatism,39,9,2017
Conservatism,51,10,2017
Conservatism,58,11,2017
Conservatism,35,12,2017
Conservatism,29,1,2018
Conservatism,35,2,2018
Conservatism,41,3,2018
Conservatism,43,4,2018
Conservatism,40,5,2018
Conservatism,65,6,2018
Conservatism,71,7,2018
Conservatism,65,8,2018
Conservatism,57,9,2018
Conservatism,61,10,2018
Conservatism,68,11,2018
Conservatism,44,12,2018
Conservatism,28,1,2019
Conservatism,28,2,2019
Conservatism,31,3,2019
Conservatism,46,4,2019
Conservatism,39,5,2019
Conservatism,35,6,2019
Conservatism,43,7,2019
Conservatism,42,8,2019
Conservatism,40,9,2019
Conservatism,47,10,2019
Conservatism,45,11,2019
Conservatism,43,12,2019
Conservatism,32,1,2020
Conservatism,37,2,2020
Conservatism,27,3,2020
Conservatism,34,4,2020
Conservatism,29,5,2020
Conservatism,37,6,2020
Conservatism,32,7,2020
Conservatism,33,8,2020
Conservatism,42,9,2020
Conservatism,74,10,2020
Conservatism,49,11,2020
Conservatism,31,12,2020
