lemma,count,Movement
Harrison,1,Conservatism
Scott,1,Conservatism
XVI,1,Conservatism
Blanchette,1,Conservatism
Dianna,1,Conservatism
Kramp-Karrenbauer,1,Conservatism
Riggleman,1,Conservatism
Jeffrey,1,Conservatism
Marsha,1,Conservatism
Jim,1,Conservatism
Roger,1,Conservatism
Trudeau’s,1,Conservatism
Lipinski,2,Conservatism
Savage,1,Conservatism
Rollins,1,Conservatism
passim,1,Conservatism
Tucker,1,Conservatism
Bannon,2,Conservatism
Michael,6,Conservatism
"Reagans,”",1,Conservatism
Coney,13,Conservatism
Sage,1,Conservatism
Reagan,2,Conservatism
Helen,1,Conservatism
Feinstein,1,Conservatism
Harris,1,Conservatism
Susan,1,Conservatism
Luther,1,Conservatism
straka,1,Conservatism
Sandra,1,Conservatism
Sebastian,1,Conservatism
Roberts,2,Conservatism
Snell,1,Conservatism
Charlie,1,Conservatism
Berkman,1,Conservatism
Sheffield,1,Conservatism
Sheldon,1,Conservatism
“Reaganland”,1,Conservatism
Greene,1,Conservatism
Betsy,1,Conservatism
Mike,3,Conservatism
Suleiman,1,Conservatism
Collins,2,Conservatism
R,3,Conservatism
Will,1,Conservatism
Orono,1,Conservatism
Jaroslav,1,Conservatism
The,1,Conservatism
Ruth,5,Conservatism
McCarthy,1,Conservatism
Lee,2,Conservatism
Angela,2,Conservatism
Walsh,1,Conservatism
Biden,12,Conservatism
Graham,2,Conservatism
Steve,3,Conservatism
O’Leary,1,Conservatism
Wolf,1,Conservatism
Jo,1,Conservatism
Matt,1,Conservatism
Fawcett’s,1,Conservatism
Cameron,1,Conservatism
Hannity,1,Conservatism
Joe,8,Conservatism
Mercer,1,Conservatism
Rae,1,Conservatism
B,2,Conservatism
Romney,2,Conservatism
Duda’s,1,Conservatism
Wohl,1,Conservatism
Johnson’s,2,Conservatism
Abe,1,Conservatism
Ronald,2,Conservatism
Aguirre,1,Conservatism
McGill,1,Conservatism
Limbaugh,4,Conservatism
Appian,1,Conservatism
Pence,1,Conservatism
Kurz’s,1,Conservatism
Mark,3,Conservatism
Ginsburg,5,Conservatism
Amy,13,Conservatism
Eric,2,Conservatism
Marjorie,1,Conservatism
Severini,2,Conservatism
Aleksei,1,Conservatism
Bolling’s,1,Conservatism
Fritzsche,1,Conservatism
Betty,1,Conservatism
Alvarez’s,1,Conservatism
Tony,1,Conservatism
Andrews,1,Conservatism
