Movement,Count,Month,Year
Fascism,1,1,2010
Fascism,1,2,2010
Fascism,1,3,2010
Fascism,1,4,2010
Fascism,1,5,2010
Fascism,2,6,2010
Fascism,1,7,2010
Fascism,0,8,2010
Fascism,1,9,2010
Fascism,0,10,2010
Fascism,1,11,2010
Fascism,0,12,2010
Fascism,1,1,2011
Fascism,0,2,2011
Fascism,1,3,2011
Fascism,1,4,2011
Fascism,2,5,2011
Fascism,0,6,2011
Fascism,0,7,2011
Fascism,2,8,2011
Fascism,0,9,2011
Fascism,0,10,2011
Fascism,2,11,2011
Fascism,1,12,2011
Fascism,1,1,2012
Fascism,1,2,2012
Fascism,1,3,2012
Fascism,1,4,2012
Fascism,3,5,2012
Fascism,2,6,2012
Fascism,0,7,2012
Fascism,3,8,2012
Fascism,3,9,2012
Fascism,2,10,2012
Fascism,1,11,2012
Fascism,1,12,2012
Fascism,0,1,2013
Fascism,3,2,2013
Fascism,2,3,2013
Fascism,2,4,2013
Fascism,0,5,2013
Fascism,2,6,2013
Fascism,2,7,2013
Fascism,0,8,2013
Fascism,7,9,2013
Fascism,6,10,2013
Fascism,2,11,2013
Fascism,1,12,2013
Fascism,0,1,2014
Fascism,4,2,2014
Fascism,2,3,2014
Fascism,1,4,2014
Fascism,2,5,2014
Fascism,3,6,2014
Fascism,4,7,2014
Fascism,3,8,2014
Fascism,4,9,2014
Fascism,2,10,2014
Fascism,0,11,2014
Fascism,2,12,2014
Fascism,2,1,2015
Fascism,2,2,2015
Fascism,1,3,2015
Fascism,4,4,2015
Fascism,2,5,2015
Fascism,1,6,2015
Fascism,2,7,2015
Fascism,2,8,2015
Fascism,0,9,2015
Fascism,1,10,2015
Fascism,5,11,2015
Fascism,8,12,2015
Fascism,2,1,2016
Fascism,5,2,2016
Fascism,3,3,2016
Fascism,1,4,2016
Fascism,2,5,2016
Fascism,1,6,2016
Fascism,2,7,2016
Fascism,3,8,2016
Fascism,1,9,2016
Fascism,1,10,2016
Fascism,2,11,2016
Fascism,5,12,2016
Fascism,2,1,2017
Fascism,6,2,2017
Fascism,5,3,2017
Fascism,0,4,2017
Fascism,4,5,2017
Fascism,2,6,2017
Fascism,0,7,2017
Fascism,6,8,2017
Fascism,5,9,2017
Fascism,4,10,2017
Fascism,5,11,2017
Fascism,5,12,2017
Fascism,2,1,2018
Fascism,5,2,2018
Fascism,1,3,2018
Fascism,6,4,2018
Fascism,2,5,2018
Fascism,5,6,2018
Fascism,2,7,2018
Fascism,1,8,2018
Fascism,4,9,2018
Fascism,7,10,2018
Fascism,2,11,2018
Fascism,2,12,2018
Fascism,2,1,2019
Fascism,2,2,2019
Fascism,2,3,2019
Fascism,5,4,2019
Fascism,2,5,2019
Fascism,1,6,2019
Fascism,6,7,2019
Fascism,6,8,2019
Fascism,3,9,2019
Fascism,2,10,2019
Fascism,2,11,2019
Fascism,1,12,2019
Fascism,0,1,2020
Fascism,5,2,2020
Fascism,3,3,2020
Fascism,0,4,2020
Fascism,3,5,2020
Fascism,7,6,2020
Fascism,6,7,2020
Fascism,0,8,2020
Fascism,1,9,2020
Fascism,4,10,2020
Fascism,1,11,2020
Fascism,2,12,2020
