Movement,Count,Month,Year
Liberalism,26,1,2010
Liberalism,27,2,2010
Liberalism,40,3,2010
Liberalism,35,4,2010
Liberalism,64,5,2010
Liberalism,32,6,2010
Liberalism,20,7,2010
Liberalism,15,8,2010
Liberalism,31,9,2010
Liberalism,36,10,2010
Liberalism,38,11,2010
Liberalism,27,12,2010
Liberalism,22,1,2011
Liberalism,21,2,2011
Liberalism,25,3,2011
Liberalism,21,4,2011
Liberalism,20,5,2011
Liberalism,26,6,2011
Liberalism,26,7,2011
Liberalism,23,8,2011
Liberalism,25,9,2011
Liberalism,17,10,2011
Liberalism,34,11,2011
Liberalism,32,12,2011
Liberalism,42,1,2012
Liberalism,28,2,2012
Liberalism,35,3,2012
Liberalism,28,4,2012
Liberalism,33,5,2012
Liberalism,30,6,2012
Liberalism,23,7,2012
Liberalism,26,8,2012
Liberalism,29,9,2012
Liberalism,32,10,2012
Liberalism,24,11,2012
Liberalism,24,12,2012
Liberalism,39,1,2013
Liberalism,18,2,2013
Liberalism,30,3,2013
Liberalism,26,4,2013
Liberalism,33,5,2013
Liberalism,27,6,2013
Liberalism,34,7,2013
Liberalism,17,8,2013
Liberalism,24,9,2013
Liberalism,30,10,2013
Liberalism,31,11,2013
Liberalism,28,12,2013
Liberalism,21,1,2014
Liberalism,28,2,2014
Liberalism,28,3,2014
Liberalism,31,4,2014
Liberalism,31,5,2014
Liberalism,25,6,2014
Liberalism,31,7,2014
Liberalism,12,8,2014
Liberalism,18,9,2014
Liberalism,29,10,2014
Liberalism,34,11,2014
Liberalism,22,12,2014
Liberalism,35,1,2015
Liberalism,28,2,2015
Liberalism,40,3,2015
Liberalism,24,4,2015
Liberalism,35,5,2015
Liberalism,36,6,2015
Liberalism,31,7,2015
Liberalism,14,8,2015
Liberalism,19,9,2015
Liberalism,48,10,2015
Liberalism,24,11,2015
Liberalism,24,12,2015
Liberalism,29,1,2016
Liberalism,30,2,2016
Liberalism,27,3,2016
Liberalism,24,4,2016
Liberalism,22,5,2016
Liberalism,11,6,2016
Liberalism,34,7,2016
Liberalism,13,8,2016
Liberalism,18,9,2016
Liberalism,23,10,2016
Liberalism,38,11,2016
Liberalism,20,12,2016
Liberalism,19,1,2017
Liberalism,33,2,2017
Liberalism,22,3,2017
Liberalism,28,4,2017
Liberalism,26,5,2017
Liberalism,31,6,2017
Liberalism,14,7,2017
Liberalism,20,8,2017
Liberalism,17,9,2017
Liberalism,26,10,2017
Liberalism,26,11,2017
Liberalism,22,12,2017
Liberalism,13,1,2018
Liberalism,17,2,2018
Liberalism,27,3,2018
Liberalism,26,4,2018
Liberalism,38,5,2018
Liberalism,39,6,2018
Liberalism,37,7,2018
Liberalism,34,8,2018
Liberalism,29,9,2018
Liberalism,41,10,2018
Liberalism,33,11,2018
Liberalism,13,12,2018
Liberalism,20,1,2019
Liberalism,24,2,2019
Liberalism,28,3,2019
Liberalism,26,4,2019
Liberalism,25,5,2019
Liberalism,25,6,2019
Liberalism,39,7,2019
Liberalism,16,8,2019
Liberalism,23,9,2019
Liberalism,24,10,2019
Liberalism,34,11,2019
Liberalism,26,12,2019
Liberalism,29,1,2020
Liberalism,24,2,2020
Liberalism,18,3,2020
Liberalism,16,4,2020
Liberalism,13,5,2020
Liberalism,19,6,2020
Liberalism,22,7,2020
Liberalism,17,8,2020
Liberalism,35,9,2020
Liberalism,28,10,2020
Liberalism,27,11,2020
Liberalism,15,12,2020
