lemma,count,Movement
Thoreau,1,Liberalism
Carol,1,Liberalism
Jeffrey,1,Liberalism
Harrison,1,Liberalism
"Privilege,”",1,Liberalism
Trudeau’s,1,Liberalism
Emmanuel,2,Liberalism
Savage,1,Liberalism
Norman,1,Liberalism
Gabriel,1,Liberalism
Coney,2,Liberalism
Sage,1,Liberalism
"Crown,”",1,Liberalism
M,1,Liberalism
Michael,1,Liberalism
Roberts,2,Liberalism
Harris,2,Liberalism
Haaland,1,Liberalism
Uncle,1,Liberalism
Susan,2,Liberalism
‘Decree,1,Liberalism
Warnock,1,Liberalism
R,4,Liberalism
Mike,1,Liberalism
Sheffield,1,Liberalism
Andersen,1,Liberalism
Wollstonecraft,1,Liberalism
Elizabeth,3,Liberalism
McSally,1,Liberalism
Sam-style,1,Liberalism
The,3,Liberalism
Ruth,5,Liberalism
Macron,1,Liberalism
Ellis,2,Liberalism
McCarthy,1,Liberalism
Bosco,1,Liberalism
Colleges,1,Liberalism
Biden,14,Liberalism
Collins,2,Liberalism
Graham,1,Liberalism
James,2,Liberalism
Hannity,1,Liberalism
Joe,7,Liberalism
Peterson,1,Liberalism
Salz,1,Liberalism
B,1,Liberalism
Raphael,1,Liberalism
Limbaugh,1,Liberalism
Amy,3,Liberalism
Vongerichten,1,Liberalism
John,1,Liberalism
Betty,1,Liberalism
Ginsburg,4,Liberalism
Anthony,1,Liberalism
G,1,Liberalism
Lear’s,1,Liberalism
Bowman,1,Liberalism
Jaein,1,Liberalism
Deb,1,Liberalism
Fives,1,Liberalism
Senator,2,Liberalism
Harry,1,Liberalism
Monterey,1,Liberalism
Kay,1,Liberalism
Simpson,1,Liberalism
I’ve,1,Liberalism
Justin,1,Liberalism
Kennedys,1,Liberalism
Kurt,1,Liberalism
Bernie,6,Liberalism
William,1,Liberalism
Manu,1,Liberalism
Ulla,1,Liberalism
Jamaal,1,Liberalism
Mary,1,Liberalism
Antonin,1,Liberalism
Scalia,1,Liberalism
Dude,1,Liberalism
Barcan,1,Liberalism
Below,1,Liberalism
Reinhardt,1,Liberalism
Raju,1,Liberalism
Andrzej,1,Liberalism
Whoever,3,Liberalism
TikTok,1,Liberalism
J,1,Liberalism
"“Breeders,”",1,Liberalism
Ramapo,1,Liberalism
fail,1,Liberalism
Meyers,1,Liberalism
No”,1,Liberalism
Trumps,1,Liberalism
Trumpism,1,Liberalism
Kevin,1,Liberalism
Rush,1,Liberalism
Justice,8,Liberalism
Dennis,1,Liberalism
Gabler’s,1,Liberalism
Moon,1,Liberalism
Barrett,3,Liberalism
Newsom,1,Liberalism
George,2,Liberalism
Gavin,1,Liberalism
Kennedy,1,Liberalism
Gilpin,1,Liberalism
Sanders’s,2,Liberalism
Judge,1,Liberalism
Emhoff,1,Liberalism
Tyson,1,Liberalism
Gandhi,1,Liberalism
O.J,1,Liberalism
You’re,1,Liberalism
Ted,1,Liberalism
Tillis,1,Liberalism
Neal,1,Liberalism
Matthew,1,Liberalism
Floyd,3,Liberalism
Bloomberg,1,Liberalism
Jack,2,Liberalism
Jr,3,Liberalism
Thom,1,Liberalism
Prince,1,Liberalism
Catching,1,Liberalism
Booker,1,Liberalism
Claus,1,Liberalism
Granger,1,Liberalism
Charles,2,Liberalism
Erin,2,Liberalism
Liberal,1,Liberalism
Heres,1,Liberalism
Emerson,1,Liberalism
Clifford,1,Liberalism
Prager,2,Liberalism
narendra,2,Liberalism
Reich,1,Liberalism
OToole,2,Liberalism
Donald,1,Liberalism
Klobuchar,2,Liberalism
Alma,1,Liberalism
“I’m,1,Liberalism
Jean-Georges,1,Liberalism
Mishra’s,1,Liberalism
Frank’s,1,Liberalism
Netanyahu,1,Liberalism
Grandma,1,Liberalism
Joseph,2,Liberalism
Ginsburg’s,2,Liberalism
Baier,5,Liberalism
Gideon,1,Liberalism
I’d,1,Liberalism
Breeze,1,Liberalism
Zadie,1,Liberalism
Thomas,3,Liberalism
Johnson,1,Liberalism
Medicare,1,Liberalism
Zusman,1,Liberalism
Ludovick,1,Liberalism
Point,1,Liberalism
Epstein,1,Liberalism
Trump,17,Liberalism
von,1,Liberalism
Weinstein,1,Liberalism
Sparta,1,Liberalism
Jones,1,Liberalism
Jaime,1,Liberalism
Tuesdays,1,Liberalism
minar,1,Liberalism
Jenna,1,Liberalism
Yoshihide,1,Liberalism
Winds,1,Liberalism
Comey,1,Liberalism
Venus,1,Liberalism
Kamala,1,Liberalism
Warren,3,Liberalism
Sean,1,Liberalism
Made,2,Liberalism
Ocasio-Cortez,1,Liberalism
Stephen,1,Liberalism
Buttigieg,1,Liberalism
Sanders,8,Liberalism
Ryan,1,Liberalism
Fanatics”,1,Liberalism
Barrett’s,1,Liberalism
Hitler,1,Liberalism
Orban,1,Liberalism
Sara,1,Liberalism
Ms,1,Liberalism
Japans,1,Liberalism
Bland,1,Liberalism
