Movement,Count,Month,Year
Libertarianism,0,1,2010
Libertarianism,1,2,2010
Libertarianism,2,3,2010
Libertarianism,3,4,2010
Libertarianism,5,5,2010
Libertarianism,6,6,2010
Libertarianism,3,7,2010
Libertarianism,2,8,2010
Libertarianism,3,9,2010
Libertarianism,3,10,2010
Libertarianism,4,11,2010
Libertarianism,1,12,2010
Libertarianism,4,1,2011
Libertarianism,0,2,2011
Libertarianism,1,3,2011
Libertarianism,4,4,2011
Libertarianism,2,5,2011
Libertarianism,4,6,2011
Libertarianism,5,7,2011
Libertarianism,1,8,2011
Libertarianism,4,9,2011
Libertarianism,2,10,2011
Libertarianism,5,11,2011
Libertarianism,8,12,2011
Libertarianism,1,1,2012
Libertarianism,3,2,2012
Libertarianism,6,3,2012
Libertarianism,1,4,2012
Libertarianism,3,5,2012
Libertarianism,4,6,2012
Libertarianism,1,7,2012
Libertarianism,5,8,2012
Libertarianism,0,9,2012
Libertarianism,1,10,2012
Libertarianism,3,11,2012
Libertarianism,1,12,2012
Libertarianism,0,1,2013
Libertarianism,2,2,2013
Libertarianism,2,3,2013
Libertarianism,3,4,2013
Libertarianism,2,5,2013
Libertarianism,3,6,2013
Libertarianism,8,7,2013
Libertarianism,3,8,2013
Libertarianism,1,9,2013
Libertarianism,4,10,2013
Libertarianism,1,11,2013
Libertarianism,4,12,2013
Libertarianism,6,1,2014
Libertarianism,1,2,2014
Libertarianism,5,3,2014
Libertarianism,3,4,2014
Libertarianism,2,5,2014
Libertarianism,1,6,2014
Libertarianism,7,7,2014
Libertarianism,9,8,2014
Libertarianism,1,9,2014
Libertarianism,3,10,2014
Libertarianism,2,11,2014
Libertarianism,3,12,2014
Libertarianism,0,1,2015
Libertarianism,4,2,2015
Libertarianism,6,3,2015
Libertarianism,10,4,2015
Libertarianism,0,5,2015
Libertarianism,3,6,2015
Libertarianism,3,7,2015
Libertarianism,2,8,2015
Libertarianism,1,9,2015
Libertarianism,1,10,2015
Libertarianism,1,11,2015
Libertarianism,1,12,2015
Libertarianism,2,1,2016
Libertarianism,2,2,2016
Libertarianism,3,3,2016
Libertarianism,1,4,2016
Libertarianism,6,5,2016
Libertarianism,2,6,2016
Libertarianism,4,7,2016
Libertarianism,8,8,2016
Libertarianism,15,9,2016
Libertarianism,8,10,2016
Libertarianism,4,11,2016
Libertarianism,0,12,2016
Libertarianism,2,1,2017
Libertarianism,3,2,2017
Libertarianism,0,3,2017
Libertarianism,1,4,2017
Libertarianism,0,5,2017
Libertarianism,0,6,2017
Libertarianism,1,7,2017
Libertarianism,1,8,2017
Libertarianism,1,9,2017
Libertarianism,0,10,2017
Libertarianism,1,11,2017
Libertarianism,2,12,2017
Libertarianism,0,1,2018
Libertarianism,1,2,2018
Libertarianism,0,3,2018
Libertarianism,1,4,2018
Libertarianism,1,5,2018
Libertarianism,1,6,2018
Libertarianism,4,7,2018
Libertarianism,6,8,2018
Libertarianism,1,9,2018
Libertarianism,1,10,2018
Libertarianism,1,11,2018
Libertarianism,1,12,2018
Libertarianism,0,1,2019
Libertarianism,5,2,2019
Libertarianism,0,3,2019
Libertarianism,1,4,2019
Libertarianism,0,5,2019
Libertarianism,0,6,2019
Libertarianism,2,7,2019
Libertarianism,6,8,2019
Libertarianism,0,9,2019
Libertarianism,1,10,2019
Libertarianism,0,11,2019
Libertarianism,0,12,2019
Libertarianism,3,1,2020
Libertarianism,1,2,2020
Libertarianism,2,3,2020
Libertarianism,4,4,2020
Libertarianism,1,5,2020
Libertarianism,1,6,2020
Libertarianism,0,7,2020
Libertarianism,2,8,2020
Libertarianism,4,9,2020
Libertarianism,2,10,2020
Libertarianism,2,11,2020
Libertarianism,1,12,2020
