lemma,count,Movement
Friedman,1,Libertarianism
smash,2,Libertarianism
Gabbard,1,Libertarianism
Lee,1,Libertarianism
Biden,2,Libertarianism
Joe,2,Libertarianism
Friedman’s,1,Libertarianism
Mackey,1,Libertarianism
John,1,Libertarianism
Senator,1,Libertarianism
Tulsa,1,Libertarianism
Paul,2,Libertarianism
Bernie,1,Libertarianism
Twitter,1,Libertarianism
Trumps,1,Libertarianism
Andrew,1,Libertarianism
Lammas,1,Libertarianism
Milton,1,Libertarianism
Donald,1,Libertarianism
Yang,1,Libertarianism
Trump,3,Libertarianism
Rand,1,Libertarianism
Sanders,1,Libertarianism
Ms,1,Libertarianism
