lemma,count,Movement
Nicolas,2,Authoritarianism
Biden,2,Authoritarianism
Aleksandr,4,Authoritarianism
Lukashenko,5,Authoritarianism
Erdogan,2,Authoritarianism
Trump,5,Authoritarianism
Jinping,2,Authoritarianism
China’s,2,Communism
Xi,6,Communism
Biden,2,Communism
Xu,2,Communism
John,2,Communism
Amphan,2,Communism
Bernie,2,Communism
Dude,2,Communism
Andrzej,2,Communism
Zhangrun,2,Communism
Heres,3,Communism
Joseph,2,Communism
Trump,5,Communism
Ren,5,Communism
Jinping,6,Communism
Zhiqiang,5,Communism
Sanders,2,Communism
Lipinski,2,Conservatism
Bannon,2,Conservatism
Michael,6,Conservatism
Coney,13,Conservatism
Reagan,2,Conservatism
Roberts,2,Conservatism
Mike,3,Conservatism
Collins,2,Conservatism
R,3,Conservatism
Ruth,5,Conservatism
Lee,2,Conservatism
Angela,2,Conservatism
Biden,12,Conservatism
Graham,2,Conservatism
Steve,3,Conservatism
Joe,8,Conservatism
B,2,Conservatism
Romney,2,Conservatism
Johnson’s,2,Conservatism
Ronald,2,Conservatism
Limbaugh,4,Conservatism
Mark,3,Conservatism
Ginsburg,5,Conservatism
Amy,13,Conservatism
Eric,2,Conservatism
Severini,2,Conservatism
Malliotakis,2,Conservatism
Justin,4,Conservatism
Antonin,3,Conservatism
Farwell,2,Conservatism
Scalia,3,Conservatism
Bennett,2,Conservatism
Dude,2,Conservatism
Whoever,3,Conservatism
Andrzej,2,Conservatism
J,2,Conservatism
Rittenhouse,2,Conservatism
Bob,2,Conservatism
Pope,2,Conservatism
Trumps,8,Conservatism
Starter,2,Conservatism
Rush,4,Conservatism
Justice,12,Conservatism
George,2,Conservatism
Ivanka,2,Conservatism
Barrett,11,Conservatism
Boris,6,Conservatism
American,2,Conservatism
Judge,3,Conservatism
Heaven,2,Conservatism
Pete,2,Conservatism
Mitt,2,Conservatism
Jack,2,Conservatism
Jr,8,Conservatism
Jacob,2,Conservatism
Loeffler,2,Conservatism
Pack,6,Conservatism
Heres,3,Conservatism
Erin,3,Conservatism
Nicole,2,Conservatism
Good,2,Conservatism
Kyle,2,Conservatism
Jared,2,Conservatism
Charles,2,Conservatism
Neil,2,Conservatism
Prager,2,Conservatism
OToole,3,Conservatism
Donald,2,Conservatism
Omar,2,Conservatism
Netanyahu,2,Conservatism
Newman,2,Conservatism
Frilot,2,Conservatism
Baier,5,Conservatism
Joseph,4,Conservatism
Johnson,5,Conservatism
Carlson,2,Conservatism
Jones,2,Conservatism
Trump,45,Conservatism
Walker,2,Conservatism
Bush,2,Conservatism
Kelly,2,Conservatism
Sean,2,Conservatism
Obama,2,Conservatism
Ilian,2,Conservatism
Barrett’s,6,Conservatism
Carlos,2,Fascism
Emmanuel,2,Liberalism
Coney,2,Liberalism
Roberts,2,Liberalism
Harris,2,Liberalism
Susan,2,Liberalism
R,4,Liberalism
Elizabeth,3,Liberalism
The,3,Liberalism
Ruth,5,Liberalism
Ellis,2,Liberalism
Biden,14,Liberalism
Collins,2,Liberalism
James,2,Liberalism
Joe,7,Liberalism
Amy,3,Liberalism
Ginsburg,4,Liberalism
Senator,2,Liberalism
Bernie,6,Liberalism
Whoever,3,Liberalism
Justice,8,Liberalism
Barrett,3,Liberalism
George,2,Liberalism
Sanders’s,2,Liberalism
Floyd,3,Liberalism
Jack,2,Liberalism
Jr,3,Liberalism
Charles,2,Liberalism
Erin,2,Liberalism
Prager,2,Liberalism
narendra,2,Liberalism
OToole,2,Liberalism
Klobuchar,2,Liberalism
Joseph,2,Liberalism
Ginsburg’s,2,Liberalism
Baier,5,Liberalism
Thomas,3,Liberalism
Trump,17,Liberalism
Warren,3,Liberalism
Made,2,Liberalism
Sanders,8,Liberalism
smash,2,Libertarianism
Biden,2,Libertarianism
Joe,2,Libertarianism
Paul,2,Libertarianism
Trump,3,Libertarianism
Salvini,2,Nationalism
Matteo,2,Nationalism
narendra,4,Nationalism
Trump,2,Nationalism
Made,3,Nationalism
R,3,Populism
Biden,3,Populism
Jr,3,Populism
Joseph,3,Populism
Trump,7,Populism
Cuomo,3,Progressivism
Lipinski,2,Progressivism
D,3,Progressivism
R,8,Progressivism
Elizabeth,4,Progressivism
Biden,27,Progressivism
Castro,2,Progressivism
Joe,13,Progressivism
Bowman,2,Progressivism
Nancy,3,Progressivism
Bernie,11,Progressivism
William,2,Progressivism
Lacy,2,Progressivism
Ady,2,Progressivism
Clay,2,Progressivism
Trumps,2,Progressivism
Andrew,3,Progressivism
George,3,Progressivism
Justice,2,Progressivism
Cori,3,Progressivism
Kennedy,2,Progressivism
Sanders’s,2,Progressivism
Pete,2,Progressivism
Jr,9,Progressivism
Eliot,2,Progressivism
Pelosi,2,Progressivism
Omar,3,Progressivism
Newman,2,Progressivism
Joseph,8,Progressivism
Medicare,2,Progressivism
Jones,2,Progressivism
Trump,8,Progressivism
Bush,3,Progressivism
Warren,7,Progressivism
Bidens,8,Progressivism
Ocasio-Cortez,2,Progressivism
Taylor,2,Progressivism
Sanders,14,Progressivism
barkan,2,Progressivism
Ms,2,Progressivism
Greene,6,QAnon
Marjorie,7,QAnon
Loeffler,2,QAnon
Omar,2,QAnon
Greenes,2,QAnon
QAnon,10,QAnon
Trump,4,QAnon
Taylor,8,QAnon
Nicolas,3,Socialism
Biden,5,Socialism
Maduro,3,Socialism
Joe,3,Socialism
John,2,Socialism
Nancy,2,Socialism
Bernie,4,Socialism
Trump,7,Socialism
Sanders,5,Socialism
