Movement,Count,Month,Year
Nationalism,0,1,2010
Nationalism,3,2,2010
Nationalism,3,3,2010
Nationalism,4,4,2010
Nationalism,4,5,2010
Nationalism,4,6,2010
Nationalism,2,7,2010
Nationalism,3,8,2010
Nationalism,2,9,2010
Nationalism,3,10,2010
Nationalism,3,11,2010
Nationalism,5,12,2010
Nationalism,1,1,2011
Nationalism,5,2,2011
Nationalism,7,3,2011
Nationalism,11,4,2011
Nationalism,6,5,2011
Nationalism,2,6,2011
Nationalism,3,7,2011
Nationalism,1,8,2011
Nationalism,4,9,2011
Nationalism,2,10,2011
Nationalism,5,11,2011
Nationalism,1,12,2011
Nationalism,5,1,2012
Nationalism,3,2,2012
Nationalism,2,3,2012
Nationalism,9,4,2012
Nationalism,9,5,2012
Nationalism,3,6,2012
Nationalism,6,7,2012
Nationalism,7,8,2012
Nationalism,7,9,2012
Nationalism,5,10,2012
Nationalism,6,11,2012
Nationalism,4,12,2012
Nationalism,3,1,2013
Nationalism,4,2,2013
Nationalism,6,3,2013
Nationalism,5,4,2013
Nationalism,7,5,2013
Nationalism,4,6,2013
Nationalism,4,7,2013
Nationalism,6,8,2013
Nationalism,5,9,2013
Nationalism,3,10,2013
Nationalism,4,11,2013
Nationalism,7,12,2013
Nationalism,2,1,2014
Nationalism,11,2,2014
Nationalism,19,3,2014
Nationalism,8,4,2014
Nationalism,12,5,2014
Nationalism,10,6,2014
Nationalism,2,7,2014
Nationalism,6,8,2014
Nationalism,14,9,2014
Nationalism,6,10,2014
Nationalism,11,11,2014
Nationalism,5,12,2014
Nationalism,5,1,2015
Nationalism,7,2,2015
Nationalism,7,3,2015
Nationalism,4,4,2015
Nationalism,6,5,2015
Nationalism,3,6,2015
Nationalism,2,7,2015
Nationalism,3,8,2015
Nationalism,9,9,2015
Nationalism,13,10,2015
Nationalism,12,11,2015
Nationalism,9,12,2015
Nationalism,12,1,2016
Nationalism,6,2,2016
Nationalism,5,3,2016
Nationalism,4,4,2016
Nationalism,6,5,2016
Nationalism,16,6,2016
Nationalism,12,7,2016
Nationalism,10,8,2016
Nationalism,4,9,2016
Nationalism,12,10,2016
Nationalism,25,11,2016
Nationalism,14,12,2016
Nationalism,8,1,2017
Nationalism,18,2,2017
Nationalism,17,3,2017
Nationalism,20,4,2017
Nationalism,17,5,2017
Nationalism,9,6,2017
Nationalism,6,7,2017
Nationalism,65,8,2017
Nationalism,12,9,2017
Nationalism,25,10,2017
Nationalism,20,11,2017
Nationalism,8,12,2017
Nationalism,13,1,2018
Nationalism,11,2,2018
Nationalism,10,3,2018
Nationalism,8,4,2018
Nationalism,6,5,2018
Nationalism,13,6,2018
Nationalism,19,7,2018
Nationalism,16,8,2018
Nationalism,10,9,2018
Nationalism,19,10,2018
Nationalism,15,11,2018
Nationalism,13,12,2018
Nationalism,14,1,2019
Nationalism,7,2,2019
Nationalism,13,3,2019
Nationalism,18,4,2019
Nationalism,35,5,2019
Nationalism,8,6,2019
Nationalism,17,7,2019
Nationalism,28,8,2019
Nationalism,13,9,2019
Nationalism,14,10,2019
Nationalism,10,11,2019
Nationalism,10,12,2019
Nationalism,9,1,2020
Nationalism,7,2,2020
Nationalism,10,3,2020
Nationalism,7,4,2020
Nationalism,5,5,2020
Nationalism,6,6,2020
Nationalism,7,7,2020
Nationalism,4,8,2020
Nationalism,10,9,2020
Nationalism,11,10,2020
Nationalism,8,11,2020
Nationalism,3,12,2020
