lemma,count,Movement
Zhirinovsky,1,Nationalism
Modi’s,1,Nationalism
Pepe,1,Nationalism
Harris,1,Nationalism
Luther,1,Nationalism
Alan,1,Nationalism
Nathuram,1,Nationalism
Boys,1,Nationalism
The,1,Nationalism
China’s,1,Nationalism
Salvini,2,Nationalism
Matt,1,Nationalism
Darby,1,Nationalism
Vladimir,1,Nationalism
Darren,1,Nationalism
Christopher,1,Nationalism
Duda’s,1,Nationalism
OConnell,1,Nationalism
"Jr.,”",1,Nationalism
Mark,1,Nationalism
Furies,1,Nationalism
Fritzsche,1,Nationalism
Paul,1,Nationalism
Sword,1,Nationalism
Francis,1,Nationalism
Aly,1,Nationalism
Miller,1,Nationalism
States,1,Nationalism
Skyward,1,Nationalism
Patwardhan,1,Nationalism
Matteo,2,Nationalism
Gandhi,1,Nationalism
Floyd,1,Nationalism
narendra,4,Nationalism
Godde,1,Nationalism
Joseph,1,Nationalism
Hanson,1,Nationalism
Yang,1,Nationalism
They,1,Nationalism
Trump,2,Nationalism
King,1,Nationalism
Beattie,1,Nationalism
Cheryl,1,Nationalism
Martin,1,Nationalism
Kamala,1,Nationalism
Anand,1,Nationalism
Made,3,Nationalism
Gotz,1,Nationalism
"Sale,”",1,Nationalism
Italy’s,1,Nationalism
Hitler,1,Nationalism
Indians,1,Nationalism
Peter,1,Nationalism
