Movement,Count,Month,Year
Neoliberalism,0,1,2010
Neoliberalism,0,2,2010
Neoliberalism,0,3,2010
Neoliberalism,0,4,2010
Neoliberalism,0,5,2010
Neoliberalism,0,6,2010
Neoliberalism,0,7,2010
Neoliberalism,0,8,2010
Neoliberalism,0,9,2010
Neoliberalism,0,10,2010
Neoliberalism,0,11,2010
Neoliberalism,0,12,2010
Neoliberalism,0,1,2011
Neoliberalism,0,2,2011
Neoliberalism,0,3,2011
Neoliberalism,0,4,2011
Neoliberalism,0,5,2011
Neoliberalism,0,6,2011
Neoliberalism,0,7,2011
Neoliberalism,1,8,2011
Neoliberalism,0,9,2011
Neoliberalism,0,10,2011
Neoliberalism,0,11,2011
Neoliberalism,0,12,2011
Neoliberalism,0,1,2012
Neoliberalism,0,2,2012
Neoliberalism,0,3,2012
Neoliberalism,0,4,2012
Neoliberalism,0,5,2012
Neoliberalism,0,6,2012
Neoliberalism,0,7,2012
Neoliberalism,2,8,2012
Neoliberalism,0,9,2012
Neoliberalism,0,10,2012
Neoliberalism,0,11,2012
Neoliberalism,0,12,2012
Neoliberalism,0,1,2013
Neoliberalism,0,2,2013
Neoliberalism,0,3,2013
Neoliberalism,0,4,2013
Neoliberalism,1,5,2013
Neoliberalism,0,6,2013
Neoliberalism,0,7,2013
Neoliberalism,0,8,2013
Neoliberalism,0,9,2013
Neoliberalism,1,10,2013
Neoliberalism,0,11,2013
Neoliberalism,0,12,2013
Neoliberalism,0,1,2014
Neoliberalism,0,2,2014
Neoliberalism,0,3,2014
Neoliberalism,0,4,2014
Neoliberalism,0,5,2014
Neoliberalism,1,6,2014
Neoliberalism,1,7,2014
Neoliberalism,0,8,2014
Neoliberalism,0,9,2014
Neoliberalism,0,10,2014
Neoliberalism,0,11,2014
Neoliberalism,0,12,2014
Neoliberalism,0,1,2015
Neoliberalism,0,2,2015
Neoliberalism,0,3,2015
Neoliberalism,0,4,2015
Neoliberalism,0,5,2015
Neoliberalism,0,6,2015
Neoliberalism,0,7,2015
Neoliberalism,1,8,2015
Neoliberalism,0,9,2015
Neoliberalism,1,10,2015
Neoliberalism,0,11,2015
Neoliberalism,0,12,2015
Neoliberalism,0,1,2016
Neoliberalism,0,2,2016
Neoliberalism,1,3,2016
Neoliberalism,0,4,2016
Neoliberalism,1,5,2016
Neoliberalism,0,6,2016
Neoliberalism,0,7,2016
Neoliberalism,0,8,2016
Neoliberalism,0,9,2016
Neoliberalism,0,10,2016
Neoliberalism,0,11,2016
Neoliberalism,1,12,2016
Neoliberalism,0,1,2017
Neoliberalism,0,2,2017
Neoliberalism,0,3,2017
Neoliberalism,0,4,2017
Neoliberalism,0,5,2017
Neoliberalism,1,6,2017
Neoliberalism,0,7,2017
Neoliberalism,0,8,2017
Neoliberalism,0,9,2017
Neoliberalism,1,10,2017
Neoliberalism,0,11,2017
Neoliberalism,2,12,2017
Neoliberalism,0,1,2018
Neoliberalism,0,2,2018
Neoliberalism,0,3,2018
Neoliberalism,0,4,2018
Neoliberalism,0,5,2018
Neoliberalism,0,6,2018
Neoliberalism,0,7,2018
Neoliberalism,2,8,2018
Neoliberalism,0,9,2018
Neoliberalism,0,10,2018
Neoliberalism,0,11,2018
Neoliberalism,0,12,2018
Neoliberalism,0,1,2019
Neoliberalism,0,2,2019
Neoliberalism,0,3,2019
Neoliberalism,0,4,2019
Neoliberalism,0,5,2019
Neoliberalism,0,6,2019
Neoliberalism,0,7,2019
Neoliberalism,0,8,2019
Neoliberalism,0,9,2019
Neoliberalism,0,10,2019
Neoliberalism,1,11,2019
Neoliberalism,0,12,2019
Neoliberalism,1,1,2020
Neoliberalism,0,2,2020
Neoliberalism,0,3,2020
Neoliberalism,0,4,2020
Neoliberalism,0,5,2020
Neoliberalism,1,6,2020
Neoliberalism,1,7,2020
Neoliberalism,0,8,2020
Neoliberalism,0,9,2020
Neoliberalism,0,10,2020
Neoliberalism,0,11,2020
Neoliberalism,0,12,2020
