Movement,Count,Month,Year
Populism,20,1,2010
Populism,11,2,2010
Populism,5,3,2010
Populism,9,4,2010
Populism,5,5,2010
Populism,5,6,2010
Populism,4,7,2010
Populism,3,8,2010
Populism,10,9,2010
Populism,8,10,2010
Populism,3,11,2010
Populism,2,12,2010
Populism,6,1,2011
Populism,3,2,2011
Populism,6,3,2011
Populism,6,4,2011
Populism,7,5,2011
Populism,3,6,2011
Populism,5,7,2011
Populism,9,8,2011
Populism,3,9,2011
Populism,11,10,2011
Populism,5,11,2011
Populism,7,12,2011
Populism,8,1,2012
Populism,5,2,2012
Populism,10,3,2012
Populism,2,4,2012
Populism,2,5,2012
Populism,2,6,2012
Populism,2,7,2012
Populism,4,8,2012
Populism,1,9,2012
Populism,8,10,2012
Populism,4,11,2012
Populism,10,12,2012
Populism,5,1,2013
Populism,3,2,2013
Populism,7,3,2013
Populism,4,4,2013
Populism,6,5,2013
Populism,1,6,2013
Populism,6,7,2013
Populism,7,8,2013
Populism,5,9,2013
Populism,10,10,2013
Populism,11,11,2013
Populism,10,12,2013
Populism,10,1,2014
Populism,2,2,2014
Populism,3,3,2014
Populism,2,4,2014
Populism,10,5,2014
Populism,13,6,2014
Populism,9,7,2014
Populism,6,8,2014
Populism,1,9,2014
Populism,11,10,2014
Populism,9,11,2014
Populism,4,12,2014
Populism,3,1,2015
Populism,8,2,2015
Populism,6,3,2015
Populism,4,4,2015
Populism,3,5,2015
Populism,10,6,2015
Populism,4,7,2015
Populism,7,8,2015
Populism,6,9,2015
Populism,3,10,2015
Populism,1,11,2015
Populism,5,12,2015
Populism,6,1,2016
Populism,12,2,2016
Populism,14,3,2016
Populism,4,4,2016
Populism,4,5,2016
Populism,17,6,2016
Populism,11,7,2016
Populism,4,8,2016
Populism,5,9,2016
Populism,14,10,2016
Populism,21,11,2016
Populism,17,12,2016
Populism,21,1,2017
Populism,14,2,2017
Populism,27,3,2017
Populism,29,4,2017
Populism,17,5,2017
Populism,10,6,2017
Populism,4,7,2017
Populism,6,8,2017
Populism,14,9,2017
Populism,9,10,2017
Populism,13,11,2017
Populism,11,12,2017
Populism,8,1,2018
Populism,5,2,2018
Populism,12,3,2018
Populism,6,4,2018
Populism,21,5,2018
Populism,24,6,2018
Populism,16,7,2018
Populism,11,8,2018
Populism,7,9,2018
Populism,15,10,2018
Populism,17,11,2018
Populism,11,12,2018
Populism,14,1,2019
Populism,6,2,2019
Populism,13,3,2019
Populism,10,4,2019
Populism,24,5,2019
Populism,12,6,2019
Populism,14,7,2019
Populism,12,8,2019
Populism,11,9,2019
Populism,8,10,2019
Populism,11,11,2019
Populism,3,12,2019
Populism,10,1,2020
Populism,3,2,2020
Populism,4,3,2020
Populism,1,4,2020
Populism,5,5,2020
Populism,1,6,2020
Populism,7,7,2020
Populism,6,8,2020
Populism,5,9,2020
Populism,6,10,2020
Populism,4,11,2020
Populism,5,12,2020
