lemma,count,Movement
Tsai,1,Populism
Emmanuel,1,Populism
Bannon,1,Populism
Roberts,1,Populism
Dylevsky,1,Populism
Richet,1,Populism
R,3,Populism
The,1,Populism
Suleiman,1,Populism
Angela,1,Populism
Macron,1,Populism
Biden,3,Populism
Horst,1,Populism
Woods,1,Populism
Mark,1,Populism
Back,1,Populism
Merkel,1,Populism
hinge,1,Populism
Jamal,1,Populism
Build,1,Populism
Desi,1,Populism
Joni,1,Populism
Earl,1,Populism
Aleksandr,1,Populism
Seehofer,1,Populism
Foot,1,Populism
Lukashenko,1,Populism
Mearns-David,1,Populism
No”,1,Populism
Trumps,1,Populism
Andrew,1,Populism
George,1,Populism
Bouterse,1,Populism
Floyd,1,Populism
Pete,1,Populism
Jr,3,Populism
Mitchell,1,Populism
“House”,1,Populism
Sergei,1,Populism
Donald,1,Populism
Frank’s,1,Populism
Better,1,Populism
Joseph,3,Populism
Thomas,1,Populism
Yang,1,Populism
K,1,Populism
Hallberg,1,Populism
Trump,7,Populism
Rutta,1,Populism
“Veep”,1,Populism
Bidens,1,Populism
Barack,1,Populism
Hoekstra,1,Populism
Stephen,1,Populism
Obama,1,Populism
Sara,1,Populism
