Movement,Count,Month,Year
Progressivism,18,1,2010
Progressivism,8,2,2010
Progressivism,6,3,2010
Progressivism,8,4,2010
Progressivism,7,5,2010
Progressivism,8,6,2010
Progressivism,12,7,2010
Progressivism,4,8,2010
Progressivism,15,9,2010
Progressivism,17,10,2010
Progressivism,13,11,2010
Progressivism,10,12,2010
Progressivism,4,1,2011
Progressivism,5,2,2011
Progressivism,7,3,2011
Progressivism,11,4,2011
Progressivism,6,5,2011
Progressivism,5,6,2011
Progressivism,15,7,2011
Progressivism,5,8,2011
Progressivism,7,9,2011
Progressivism,10,10,2011
Progressivism,13,11,2011
Progressivism,11,12,2011
Progressivism,11,1,2012
Progressivism,5,2,2012
Progressivism,8,3,2012
Progressivism,7,4,2012
Progressivism,7,5,2012
Progressivism,15,6,2012
Progressivism,3,7,2012
Progressivism,6,8,2012
Progressivism,3,9,2012
Progressivism,10,10,2012
Progressivism,9,11,2012
Progressivism,9,12,2012
Progressivism,17,1,2013
Progressivism,5,2,2013
Progressivism,11,3,2013
Progressivism,9,4,2013
Progressivism,5,5,2013
Progressivism,8,6,2013
Progressivism,14,7,2013
Progressivism,9,8,2013
Progressivism,5,9,2013
Progressivism,7,10,2013
Progressivism,15,11,2013
Progressivism,10,12,2013
Progressivism,16,1,2014
Progressivism,10,2,2014
Progressivism,9,3,2014
Progressivism,11,4,2014
Progressivism,10,5,2014
Progressivism,8,6,2014
Progressivism,7,7,2014
Progressivism,3,8,2014
Progressivism,6,9,2014
Progressivism,6,10,2014
Progressivism,7,11,2014
Progressivism,12,12,2014
Progressivism,11,1,2015
Progressivism,8,2,2015
Progressivism,12,3,2015
Progressivism,11,4,2015
Progressivism,16,5,2015
Progressivism,3,6,2015
Progressivism,6,7,2015
Progressivism,5,8,2015
Progressivism,6,9,2015
Progressivism,8,10,2015
Progressivism,11,11,2015
Progressivism,2,12,2015
Progressivism,15,1,2016
Progressivism,16,2,2016
Progressivism,12,3,2016
Progressivism,12,4,2016
Progressivism,10,5,2016
Progressivism,10,6,2016
Progressivism,12,7,2016
Progressivism,3,8,2016
Progressivism,3,9,2016
Progressivism,14,10,2016
Progressivism,8,11,2016
Progressivism,10,12,2016
Progressivism,9,1,2017
Progressivism,12,2,2017
Progressivism,4,3,2017
Progressivism,11,4,2017
Progressivism,18,5,2017
Progressivism,16,6,2017
Progressivism,9,7,2017
Progressivism,13,8,2017
Progressivism,9,9,2017
Progressivism,14,10,2017
Progressivism,6,11,2017
Progressivism,15,12,2017
Progressivism,14,1,2018
Progressivism,7,2,2018
Progressivism,17,3,2018
Progressivism,13,4,2018
Progressivism,20,5,2018
Progressivism,15,6,2018
Progressivism,19,7,2018
Progressivism,22,8,2018
Progressivism,28,9,2018
Progressivism,19,10,2018
Progressivism,14,11,2018
Progressivism,10,12,2018
Progressivism,17,1,2019
Progressivism,20,2,2019
Progressivism,28,3,2019
Progressivism,16,4,2019
Progressivism,21,5,2019
Progressivism,25,6,2019
Progressivism,37,7,2019
Progressivism,22,8,2019
Progressivism,18,9,2019
Progressivism,10,10,2019
Progressivism,18,11,2019
Progressivism,14,12,2019
Progressivism,21,1,2020
Progressivism,19,2,2020
Progressivism,20,3,2020
Progressivism,20,4,2020
Progressivism,6,5,2020
Progressivism,16,6,2020
Progressivism,19,7,2020
Progressivism,37,8,2020
Progressivism,22,9,2020
Progressivism,13,10,2020
Progressivism,41,11,2020
Progressivism,8,12,2020
