lemma,count,Movement
Warrens,1,Progressivism
MAGA,1,Progressivism
Franklin,1,Progressivism
Avril,1,Progressivism
Jeffrey,1,Progressivism
Cuomo,3,Progressivism
Lipinski,2,Progressivism
Tsai,1,Progressivism
Coney,1,Progressivism
Robin,1,Progressivism
Engel,1,Progressivism
Ishan,1,Progressivism
Feinstein,1,Progressivism
M,1,Progressivism
Harris,1,Progressivism
Michael,1,Progressivism
Hedges,1,Progressivism
D,3,Progressivism
Balkan,1,Progressivism
A.O.C,1,Progressivism
Luther,1,Progressivism
Greene,1,Progressivism
Sebastian,1,Progressivism
Yoho,1,Progressivism
Broadway,1,Progressivism
Mike,1,Progressivism
Alexandra,1,Progressivism
R,8,Progressivism
Pelosi’s,1,Progressivism
Elizabeth,4,Progressivism
Haines,1,Progressivism
Ruth,1,Progressivism
Aroldis,1,Progressivism
Biden,27,Progressivism
Tlaib,1,Progressivism
Castro,2,Progressivism
Steve,1,Progressivism
James,1,Progressivism
Joe,13,Progressivism
Lipton’s,1,Progressivism
Fed,1,Progressivism
Moses,1,Progressivism
Kasich,1,Progressivism
Netflix’s,1,Progressivism
Ginsburg,1,Progressivism
Zients,1,Progressivism
Amy,1,Progressivism
Marjorie,1,Progressivism
Alex,1,Progressivism
Kurz’s,1,Progressivism
blame,1,Progressivism
Wallace’s,1,Progressivism
Bowman,2,Progressivism
John,1,Progressivism
Buttigieg’s,1,Progressivism
Senator,1,Progressivism
Nancy,3,Progressivism
Frank,1,Progressivism
Bushey,1,Progressivism
Bernie,11,Progressivism
Jamaal,1,Progressivism
"Red,”",1,Progressivism
William,2,Progressivism
Brenna,1,Progressivism
Ethan,1,Progressivism
Lacy,2,Progressivism
Ady,2,Progressivism
Heather,1,Progressivism
Wu,1,Progressivism
Clay,2,Progressivism
Trumps,2,Progressivism
Andrew,3,Progressivism
Stephens,1,Progressivism
Dianne,1,Progressivism
Mondaire,1,Progressivism
George,3,Progressivism
Ghats,1,Progressivism
Justice,2,Progressivism
Barrett,1,Progressivism
Cori,3,Progressivism
Kennedy,2,Progressivism
Sanders’s,2,Progressivism
Ted,1,Progressivism
Fernandez,1,Progressivism
Pete,2,Progressivism
Chapman,1,Progressivism
Neal,1,Progressivism
Engels,1,Progressivism
Booker,1,Progressivism
Williams,1,Progressivism
Roosevelt,1,Progressivism
Jr,9,Progressivism
Reginald,1,Progressivism
Code,1,Progressivism
Eliot,2,Progressivism
Michelle,1,Progressivism
Austin,1,Progressivism
Torres,1,Progressivism
Pelosi,2,Progressivism
Bret,1,Progressivism
Omar,3,Progressivism
Sascha,1,Progressivism
Fusco,1,Progressivism
Ginsburg’s,1,Progressivism
Kim,1,Progressivism
Newman,2,Progressivism
Baier,1,Progressivism
Joseph,8,Progressivism
Rother,1,Progressivism
Dwayne,1,Progressivism
Leger,1,Progressivism
Floyd’s,1,Progressivism
Medicare,2,Progressivism
Lamb,1,Progressivism
A.L.,1,Progressivism
Jensen,1,Progressivism
Jones,2,Progressivism
Trump,8,Progressivism
Dornhöfer,1,Progressivism
Scalise,1,Progressivism
Levy,1,Progressivism
Conor,1,Progressivism
Bondes,1,Progressivism
Murphy,1,Progressivism
Harris’s,1,Progressivism
Leach,1,Progressivism
Bush,3,Progressivism
King,1,Progressivism
Barkai,1,Progressivism
Martin,1,Progressivism
Kamala,1,Progressivism
Warren,7,Progressivism
Bidens,8,Progressivism
Ritchie,1,Progressivism
Sean,1,Progressivism
Ocasio-Cortez,2,Progressivism
Obamas,1,Progressivism
Dan,1,Progressivism
Betts,1,Progressivism
Taylor,2,Progressivism
Morse,1,Progressivism
Buttigieg,1,Progressivism
Sanders,14,Progressivism
Obama,1,Progressivism
Philip,1,Progressivism
barkan,2,Progressivism
Ms,2,Progressivism
Henry,1,Progressivism
Connery,1,Progressivism
