Movement,Count,Month,Year
QAnon,0,1,2010
QAnon,0,2,2010
QAnon,0,3,2010
QAnon,0,4,2010
QAnon,0,5,2010
QAnon,0,6,2010
QAnon,0,7,2010
QAnon,0,8,2010
QAnon,0,9,2010
QAnon,0,10,2010
QAnon,0,11,2010
QAnon,0,12,2010
QAnon,0,1,2011
QAnon,0,2,2011
QAnon,0,3,2011
QAnon,0,4,2011
QAnon,0,5,2011
QAnon,0,6,2011
QAnon,0,7,2011
QAnon,0,8,2011
QAnon,0,9,2011
QAnon,0,10,2011
QAnon,0,11,2011
QAnon,0,12,2011
QAnon,0,1,2012
QAnon,0,2,2012
QAnon,0,3,2012
QAnon,0,4,2012
QAnon,0,5,2012
QAnon,0,6,2012
QAnon,0,7,2012
QAnon,0,8,2012
QAnon,0,9,2012
QAnon,0,10,2012
QAnon,0,11,2012
QAnon,0,12,2012
QAnon,0,1,2013
QAnon,0,2,2013
QAnon,0,3,2013
QAnon,0,4,2013
QAnon,0,5,2013
QAnon,0,6,2013
QAnon,0,7,2013
QAnon,0,8,2013
QAnon,0,9,2013
QAnon,0,10,2013
QAnon,0,11,2013
QAnon,0,12,2013
QAnon,0,1,2014
QAnon,0,2,2014
QAnon,0,3,2014
QAnon,0,4,2014
QAnon,0,5,2014
QAnon,0,6,2014
QAnon,0,7,2014
QAnon,0,8,2014
QAnon,0,9,2014
QAnon,0,10,2014
QAnon,0,11,2014
QAnon,0,12,2014
QAnon,0,1,2015
QAnon,0,2,2015
QAnon,0,3,2015
QAnon,0,4,2015
QAnon,0,5,2015
QAnon,0,6,2015
QAnon,0,7,2015
QAnon,0,8,2015
QAnon,0,9,2015
QAnon,0,10,2015
QAnon,0,11,2015
QAnon,0,12,2015
QAnon,0,1,2016
QAnon,0,2,2016
QAnon,0,3,2016
QAnon,0,4,2016
QAnon,0,5,2016
QAnon,0,6,2016
QAnon,0,7,2016
QAnon,0,8,2016
QAnon,0,9,2016
QAnon,0,10,2016
QAnon,0,11,2016
QAnon,0,12,2016
QAnon,0,1,2017
QAnon,0,2,2017
QAnon,0,3,2017
QAnon,0,4,2017
QAnon,0,5,2017
QAnon,0,6,2017
QAnon,0,7,2017
QAnon,0,8,2017
QAnon,0,9,2017
QAnon,0,10,2017
QAnon,0,11,2017
QAnon,0,12,2017
QAnon,0,1,2018
QAnon,0,2,2018
QAnon,0,3,2018
QAnon,1,4,2018
QAnon,0,5,2018
QAnon,0,6,2018
QAnon,0,7,2018
QAnon,0,8,2018
QAnon,1,9,2018
QAnon,0,10,2018
QAnon,0,11,2018
QAnon,0,12,2018
QAnon,0,1,2019
QAnon,0,2,2019
QAnon,0,3,2019
QAnon,0,4,2019
QAnon,0,5,2019
QAnon,0,6,2019
QAnon,1,7,2019
QAnon,0,8,2019
QAnon,0,9,2019
QAnon,0,10,2019
QAnon,0,11,2019
QAnon,0,12,2019
QAnon,0,1,2020
QAnon,1,2,2020
QAnon,0,3,2020
QAnon,0,4,2020
QAnon,2,5,2020
QAnon,3,6,2020
QAnon,3,7,2020
QAnon,17,8,2020
QAnon,10,9,2020
QAnon,21,10,2020
QAnon,7,11,2020
QAnon,1,12,2020
