lemma,count,Movement
Scott,1,QAnon
MAGA,1,QAnon
Ishan,1,QAnon
Greene,6,QAnon
R,1,QAnon
Lauren,1,QAnon
Styles,1,QAnon
Collins,1,QAnon
Biden,1,QAnon
Jo,1,QAnon
Rae,1,QAnon
Marjorie,7,QAnon
Harry,1,QAnon
Justin,1,QAnon
Tipton,1,QAnon
Brenna,1,QAnon
Malinowski,1,QAnon
Witzke,1,QAnon
Cori,1,QAnon
“Go,1,QAnon
Jr,1,QAnon
Loeffler,2,QAnon
Omar,2,QAnon
Greenes,2,QAnon
Joseph,1,QAnon
#TrumpCovidHoax,1,QAnon
QAnon,10,QAnon
Trump,4,QAnon
Doug,1,QAnon
Tom,1,QAnon
"QAnon,”",1,QAnon
Bush,1,QAnon
Kelly,1,QAnon
Perkins,1,QAnon
Bieber,1,QAnon
Taylor,8,QAnon
