Movement,Count,Month,Year
Socialism,2,1,2010
Socialism,4,2,2010
Socialism,9,3,2010
Socialism,7,4,2010
Socialism,6,5,2010
Socialism,5,6,2010
Socialism,2,7,2010
Socialism,6,8,2010
Socialism,9,9,2010
Socialism,4,10,2010
Socialism,2,11,2010
Socialism,4,12,2010
Socialism,2,1,2011
Socialism,2,2,2011
Socialism,4,3,2011
Socialism,6,4,2011
Socialism,13,5,2011
Socialism,8,6,2011
Socialism,7,7,2011
Socialism,3,8,2011
Socialism,6,9,2011
Socialism,8,10,2011
Socialism,8,11,2011
Socialism,3,12,2011
Socialism,8,1,2012
Socialism,4,2,2012
Socialism,10,3,2012
Socialism,16,4,2012
Socialism,26,5,2012
Socialism,12,6,2012
Socialism,5,7,2012
Socialism,8,8,2012
Socialism,8,9,2012
Socialism,11,10,2012
Socialism,11,11,2012
Socialism,12,12,2012
Socialism,4,1,2013
Socialism,8,2,2013
Socialism,8,3,2013
Socialism,5,4,2013
Socialism,5,5,2013
Socialism,6,6,2013
Socialism,2,7,2013
Socialism,6,8,2013
Socialism,4,9,2013
Socialism,5,10,2013
Socialism,4,11,2013
Socialism,6,12,2013
Socialism,4,1,2014
Socialism,4,2,2014
Socialism,9,3,2014
Socialism,3,4,2014
Socialism,3,5,2014
Socialism,4,6,2014
Socialism,4,7,2014
Socialism,4,8,2014
Socialism,8,9,2014
Socialism,4,10,2014
Socialism,4,11,2014
Socialism,10,12,2014
Socialism,3,1,2015
Socialism,6,2,2015
Socialism,7,3,2015
Socialism,4,4,2015
Socialism,6,5,2015
Socialism,2,6,2015
Socialism,7,7,2015
Socialism,3,8,2015
Socialism,8,9,2015
Socialism,10,10,2015
Socialism,6,11,2015
Socialism,12,12,2015
Socialism,11,1,2016
Socialism,9,2,2016
Socialism,6,3,2016
Socialism,9,4,2016
Socialism,6,5,2016
Socialism,7,6,2016
Socialism,4,7,2016
Socialism,3,8,2016
Socialism,7,9,2016
Socialism,6,10,2016
Socialism,3,11,2016
Socialism,2,12,2016
Socialism,5,1,2017
Socialism,2,2,2017
Socialism,0,3,2017
Socialism,3,4,2017
Socialism,3,5,2017
Socialism,3,6,2017
Socialism,6,7,2017
Socialism,1,8,2017
Socialism,2,9,2017
Socialism,0,10,2017
Socialism,1,11,2017
Socialism,2,12,2017
Socialism,4,1,2018
Socialism,2,2,2018
Socialism,1,3,2018
Socialism,3,4,2018
Socialism,5,5,2018
Socialism,5,6,2018
Socialism,9,7,2018
Socialism,9,8,2018
Socialism,6,9,2018
Socialism,5,10,2018
Socialism,4,11,2018
Socialism,3,12,2018
Socialism,3,1,2019
Socialism,14,2,2019
Socialism,8,3,2019
Socialism,11,4,2019
Socialism,8,5,2019
Socialism,5,6,2019
Socialism,9,7,2019
Socialism,3,8,2019
Socialism,5,9,2019
Socialism,8,10,2019
Socialism,6,11,2019
Socialism,3,12,2019
Socialism,5,1,2020
Socialism,17,2,2020
Socialism,11,3,2020
Socialism,6,4,2020
Socialism,4,5,2020
Socialism,4,6,2020
Socialism,4,7,2020
Socialism,10,8,2020
Socialism,3,9,2020
Socialism,9,10,2020
Socialism,3,11,2020
Socialism,1,12,2020
