lemma,count,Movement
Maz,1,Socialism
Emmanuel,1,Socialism
Saval,1,Socialism
Harris,1,Socialism
Nicolas,3,Socialism
Clinton,1,Socialism
R,1,Socialism
Pelosi’s,1,Socialism
Guaidó,1,Socialism
Jong-un’s,1,Socialism
David,1,Socialism
Juan,1,Socialism
Biden,5,Socialism
Maduro,3,Socialism
Joe,3,Socialism
B,1,Socialism
Al,1,Socialism
Limbaugh,1,Socialism
John,2,Socialism
Evo,1,Socialism
Arce,1,Socialism
Bowman,1,Socialism
Senator,1,Socialism
Nancy,2,Socialism
Bernie,4,Socialism
William,1,Socialism
Maduro’s,1,Socialism
Tommy,1,Socialism
Jamaal,1,Socialism
Hillary,1,Socialism
Venezuelans,1,Socialism
Rush,1,Socialism
Luis,1,Socialism
Sandoval,1,Socialism
P,1,Socialism
Sanders’s,1,Socialism
Morales’s,1,Socialism
Bolton,1,Socialism
Rivera,1,Socialism
Jr,1,Socialism
Engels,1,Socialism
Michelle,1,Socialism
Edward,1,Socialism
Pelosi,1,Socialism
Eliot,1,Socialism
Donald,1,Socialism
Barr,1,Socialism
Niki,1,Socialism
Kim,1,Socialism
Joseph,1,Socialism
Sorel,1,Socialism
Trump,7,Socialism
Carlos,1,Socialism
Kamala,1,Socialism
Gore,1,Socialism
Macron’s,1,Socialism
Tuberville,1,Socialism
Nelson,1,Socialism
Obama,1,Socialism
Sanders,5,Socialism
Judas,1,Socialism
