,Datetime,Tweet Id,Text,Username
0,2021-01-01 23:59:50+00:00,1345157818605821952,"@AlbiniEatBigMac @BadCOVID19Takes And yet you have a social safety net the US doesn't have. NL isn't ""neoliberal"" by any sane definition. That's my point.",armchairshrink
1,2021-01-01 23:59:25+00:00,1345157713949556737,Toda la militancia les venía diciendo que exterminaran al poder judicial corrupto neoliberal. Pero perdieron el tiempo. Lo van a pagar.,joaninoc
2,2021-01-01 23:59:10+00:00,1345157651362054144,@GottaBernNow @TMZ That's all NYC needs is another neoliberal austerization clown.,squirrelpalooza
3,2021-01-01 23:58:33+00:00,1345157495711551490,Remember there’s a trade-off between this and something. Think about that https://t.co/NWx5Tec1Jr,neoliberal_dad
4,2021-01-01 23:57:10+00:00,1345157147034857473,@DrewDiezel @BadCOVID19Takes When neoliberal has no meaning,armchairshrink
5,2021-01-01 23:56:27+00:00,1345156967204061185,"@FabioPorchat pra quem apoia um projeto desenvolvimentista e trabalhista sim, mas pra quem vai apoiar mais um fracassado projeto neoliberal aqui no Brasil tanto faz... 

infelizmente não basta só mudar o lixo da presidência é preciso tbm mudar de PROJETO, principalmente e urgentemente",falamaisdociro
6,2021-01-01 23:55:47+00:00,1345156801453551617,@NothingGen @Alvarorivguez @EduT1 Ni mensaje de odio ni mierdas. Oposición al diaparate moderno y neoliberal que representais. Oposición a que sigais destrozando vidas,PauPauscf
7,2021-01-01 23:55:16+00:00,1345156668540264450,@neoliberal_dad Cool. The two-party system is a function of a winner-take-all electoral system and can’t be “abolished” any more than you can make photosynthesis produce purple plants instead of green. Fun conversation.,kevinsmurray
8,2021-01-01 23:54:49+00:00,1345156557206679552,"No sé, eh, ni que la proposta l'hagués fet un racista, xenòfob i neoliberal com el Manuel Valls, tu... Ai, calla... https://t.co/o4dgLqA4Z8",Xiquein
9,2021-01-01 23:54:34+00:00,1345156492702396422,"@BarackObama @jawofsteel2014 A lot of people felt incredibly disappointed, betrayed and deceived, when Barry Obama turned out to be just another 1%er.

Ongoing neoliberal betrayal of average Americans is what gave us Trumprage.

Blame unDemocrats. 
Blame the absence an real opposition party.

DNC = G.O.P.",TimNissen1
10,2021-01-01 23:53:59+00:00,1345156345998303232,@neoliberal_dad Way too hungover for this,birchswinging
11,2021-01-01 23:53:06+00:00,1345156124530462720,"The coordinated demonizing of Jimmy Dore leading to dismissal of the #ForceTheVote movement &amp; the Third Way, neoliberal, Republican, praise of AOC is the beginning process of making way for the incoming right-wing corporate friendly Biden Administration. Make no mistake.",OWS_ellie
12,2021-01-01 23:52:43+00:00,1345156026710953985,"We're just amazed to still be here. I am also stunned - and disappointed - that we still have such primitive stuff going on - violence exploding into war, sex culminating in rape, sexism when you really can f*** anyone who agrees to let you, racism, neoliberal capitalism. https://t.co/aF4hYRSyXJ",daledewar
13,2021-01-01 23:52:20+00:00,1345155930372141057,"@Orbit_house Nah, en el Poli enseñan a obedecer a los ""neoliberales"", en el Tec a hacerte un ""neoliberal"".",rolopemx
14,2021-01-01 23:52:13+00:00,1345155903771664384,"@MiDiosEsK Esta misma conciencia ha llegado y llegará entre los millones de chilenos precarizados, llamados 'winners' x decadas x jefes y cultura neoliberal, explotando unos a otros con AFPs, tarjetas, Isapres, Jumbo, Easy, Falabella. #neoliberalismo esta muriendo en Chile y Latinoamerica.",Precaritarian
15,2021-01-01 23:51:59+00:00,1345155843596181504,@GoodwinCharlie @BenjaminPDixon None of the people you all compared him to would ever act like Jimmy because they actually wanted to accomplish things. It’s not “tone policing” to acknowledge calling everyone who disagrees with you a fucking neoliberal fraud is moronic.,seanschuerman
16,2021-01-01 23:51:26+00:00,1345155704110211072,"@annakhachiyan Bed frames are neoliberal, sorry",AnnakeStienstra
17,2021-01-01 23:51:02+00:00,1345155605355503617,@neoliberal_dad Hope she’s doing ok,coolp1np
18,2021-01-01 23:49:31+00:00,1345155222717440000,"@Solidarity_Star While the Clinton/third way neoliberal faction ruling the democratic party did not create the left, they are about to turn the left into a mass movement. 2024 will be left populism by whoever replaces the democrats as major party v right populists GOP",alizardx
19,2021-01-01 23:49:10+00:00,1345155136159531013,@mattpbclayton @SocialistBoomer @Strandjunker taking a major pay cut to be able to continue the grift the second whatever GOP fascist wins on the failure of neoliberal austerity bullshit 🙃,sunraykin
20,2021-01-01 23:49:06+00:00,1345155116706496512,@neoliberal_dad god i love her sm,ricekrizpies
21,2021-01-01 23:48:21+00:00,1345154930668052481,"@DerkGently @Deanna_Wroe @jeremycorbyn He's describing the neoliberal, imperialist establishment. It's what led us to this point, where we're facing several simultaneous existential threats. Power is in the hands of a few extremely wealthy, warmongering sociopaths, information is filtered and party politics is a sham.",MarcDaran
