,Datetime,Tweet Id,Text,Username
0,2021-01-01 23:59:55+00:00,1345157839145361411,"@realDonaldTrump Under the 25th Amendment, this want to be dictator, 
@realDonaldTrump wholesale attacks on our democracy, make his continuation, in office, both illegal and invalid

This desecration of our republic has been enabled &amp; allowed only with complicit &amp; willful @GOP enabling ! https://t.co/jbg8X3dIrj",1Tblair
1,2021-01-01 23:59:47+00:00,1345157804554768384,"Mike Pompeo plans to be President of the United States, and it will be up to us and a vigilant media to knock him out of the running early and for good. No more overloaded bullies and dictator wanna be's in the Oval, please.",TheSpringChickn
2,2021-01-01 23:59:45+00:00,1345157798087241729,"This piece for #DoingDevelomentDemocratically 👇“Funding African authoritarian regimes may look like a good decision in short run, but developmental gains may subsequently disappear” 
Conflict in Ethiopia Calls Into Question Authoritarian Aid https://t.co/7fXT9d515Z @CarnegieDCG",Thieristan
3,2021-01-01 23:59:42+00:00,1345157784178810880,@ChrisAshton59 @Gymin_n_Chillin @SkyNews Scratch the surface of a leftist and you'll find a fanatic a hypocrite and a moral authoritarian control freak https://t.co/ffkH4RATaJ,CaliOTM
4,2021-01-01 23:59:39+00:00,1345157772963442688,"@evoespueblo @DiazCanelB Lo Pueblo cubano és magnifico , pero el dictator que yusted felicita es un genocida , como Lo hermano Fidel e Lo criminoso Guevara. Assessinos",FulvioLuna
5,2021-01-01 23:59:38+00:00,1345157767074467841,@Jacquelinecs12 @realDonaldTrump Yeah I know. Trump put all those Right wing judges and SC judges in and they still won’t rule in his favor. Scrap the whole justice system and install a Dictator. Biden won so he will be the first Dictator that he can hand off to Kamella when he dies.,maxi9990
6,2021-01-01 23:59:30+00:00,1345157735575388160,"@Riobux It's not so much a fear of government as a fear of human nature. I am inherently anti authoritarian, and I think that individual businesses are easier to escape than the government. If a business messes up employees suffer, if the government screws up…",TwistedJenius
7,2021-01-01 23:59:24+00:00,1345157711227449349,@MSNBC @NBCNews This is trumps doing.   He could care less if you live or die.  His main concern is staying power and to eventually because a dictator.,linda69962461
8,2021-01-01 23:58:56+00:00,1345157591324905473,@sheila_cheeks @Lori51686859 @wdunlap @realDonaldTrump Cuba has a dictator! It’s not socialism!,Minimaria
9,2021-01-01 23:58:41+00:00,1345157528888479744,@johncardillo A very sick narcissistic dictator using Times Square for himself...as if we want to see these crooks dancing while we all suffer from@his lockdowns,SueLaze
10,2021-01-01 23:58:09+00:00,1345157393647329280,@tlccourville DAMN the Republican Party... an American political party of long standing that now &amp; for 4 yrs has supported a would-be autocrat/dictator who has showed no -NONE- respect for American law and values. DAMN Trump! DAMN the Republican Party! (FYI-I am a decades long INDEPENDENT),EdShields12
11,2021-01-01 23:58:08+00:00,1345157390749097985,"@AlexKokcharov @VladDavidzon @sumlenny With an authoritarian touch, AFAIK.
Compare his public events with those of Putin, with those of Lukashenka...",RaulWolfBruning
12,2021-01-01 23:58:02+00:00,1345157365197320192,"@lean_anarcho Theism isn't more of a problem than atheism, in my opinion. The problem is conservatism and authoritarian religious institutions.",yesvatore
13,2021-01-01 23:58:00+00:00,1345157358431981573,"@anarchoptimist He has always called himself a socialist, but you know how that goes- If you are not an authoritarian socialist, you know what that makes you....",Tectomancer
14,2021-01-01 23:57:48+00:00,1345157308460969986,"@UNESCO @MWLOrg_en Al Nejashi has been bombed by dictator @AbiyAhmedAli. This place was not only a shelter to the first Muslim immigrants running persecution but also a historical place for Muslims outside and inside of #Tigray. #StopWarOnTigray
https://t.co/Um2nP6Txfd",Axumawi_MIT
