,Datetime,Tweet Id,Text,Username
0,2021-01-01 23:59:57+00:00,1345157849882746885,@lingweene Not even communism can make that happen.,MarxIsMyNigga
1,2021-01-01 23:59:51+00:00,1345157824637259776,The executive of the modern state is but a committee for managing the common affairs of the whole bourgeoisie. (https://t.co/GqWUjY8rik) https://t.co/Ql6gaJhA2q,yaoi_communism
2,2021-01-01 23:59:50+00:00,1345157819998167040,"@hickoryhill8520 @CLDALLAS3 @A_J_Christ @InnocentByabag5 @lemoncandys @JW_Branding @BeachcatTt @ascripturedlife @julesrprecious @jlshine5 @sog36 @GraceSamuel888 @SkiltonRay @kristia101 @Messiahanthem @sharonePack @ledrew @thompsonb2569 @emmanuelobi476 @ChristIsComing4 @HMinistries8 Patriots know that God gave us our own mind, our own talents and our own decisions.  Dems “communist”don’t like this and want to control everything you think and do.  Game over if Dems get in this time. Insurrection act now!!  Please President Trump.",theinventorinc1
3,2021-01-01 23:59:50+00:00,1345157818987421696,@KamalaHarris Politicians for communist China 🇨🇳,Nalajama1
4,2021-01-01 23:59:50+00:00,1345157816936493056,@donwinslow @realDonaldTrump dude u know ur a communist on the CCP payroll,CornPoPJoe
5,2021-01-01 23:59:49+00:00,1345157814860316677,@mike_wanaoni @TeamTrump @realDonaldTrump Just so you understand I’ll write slow. The indoctrination propaganda media owned by China Russia and all the Communist countries who hate the restrictions Mr. Trump has given them. The negative smear campaign proves there are more ignorant Americans than liberals!,JuliaCaplick
6,2021-01-01 23:59:47+00:00,1345157806966644736,@allisonpearson China achieved this with a communist government Alison. It's called leadership. The UK should try it sometime,snoopythepilot
7,2021-01-01 23:59:47+00:00,1345157806215852038,@amyklobuchar You all just need to move to a communist country if you don’t like it here!!!,ssixxzer
8,2021-01-01 23:59:39+00:00,1345157772980183041,@smarter37571226 @BetteMidler Black Americans who don't let media owned by Communist China tell them what kind of man Trump is  know he has done more for them than any President in decades. He gave Jesse Jackson offices for his Push/Rainbow Coalition civil rights group &amp; didn't charge rent. He got an award,Youmadleft2
9,2021-01-01 23:59:38+00:00,1345157768957726720,@polkadottedme @dougducey 😂😂😂😂never red any longer. The communist republicans are going to reap karma,Ruthshea3
10,2021-01-01 23:59:38+00:00,1345157768714575873,@PeterBu02818812 @ChrisJDawson @helen07954551 Yes Johnson of the infamous Bullington club is trying to force us into communism https://t.co/Xu2JEaYDPQ,DeanRGrundy
11,2021-01-01 23:59:33+00:00,1345157747617239041,"@_letterbxmb on the one hand, yes

on the other, i wouldnt be a communist if this year hadnt beaten it into me. and im thankful for that 

this year sucked though big agreed",IdiotSage
12,2021-01-01 23:59:29+00:00,1345157729799843845,@NYCMayorsOffice Every Communist approves this message https://t.co/0OS7MStInb,Cardiopanic
13,2021-01-01 23:59:26+00:00,1345157719431536640,"@EdMarkey It will never happen ,America will never let it happen communist",Mpaou812
14,2021-01-01 23:59:26+00:00,1345157718579941376,"@JackPosobiec @alphafluffy01 @PhillyMayor Patriots know that God gave us our own mind, our own talents and our own decisions.  Dems “communist”don’t like this and want to control everything you think and do.  Game over if Dems get in this time. Insurrection act now!!  Please President Trump.",theinventorinc1
15,2021-01-01 23:59:20+00:00,1345157692877258752,@Doobie_Gillis @NoFukWits So we can be sold out to a communist China? You're 100% tripping &amp; in your feelings.,EgoFinesser
16,2021-01-01 23:59:14+00:00,1345157669380874243,@Nelguason Puto communist de mierda,NeburNoWho
17,2021-01-01 23:59:13+00:00,1345157662640541697,@randyduong99 @4HumanUnity @realDonaldTrump Communism and socialism... you guys throw those words around so much I don’t think you know what they mean,JorgeArriagav
18,2021-01-01 23:59:09+00:00,1345157648937791490,@SenSasse @BenSasse Because you are bought and paid for by the Chinese Communist Party and Iran.,jhudd2
19,2021-01-01 23:59:07+00:00,1345157639240622082,@realspencergray That’s silly. Tweets like this undermine the credibility of progressives. The stock market is how companies get capital. Now you sound like a communist or something.,pamwallace
20,2021-01-01 23:59:05+00:00,1345157628125700101,"@realDonaldTrump If anyone that never live in communist party country, please research before talking about Joe or Trump",PhuongV45822204
21,2021-01-01 23:59:03+00:00,1345157622660530177,"@LindseyGrahamSC There you go again. Why some of them little peoples is getting a leg up and on the verge of breaking out into prosperity and wealth.

Do you want the guvmint to finance that? Why that is communism.

You ain't t going have me chuck fifty years of economic propaganda, no you ain't",lyntwo2
22,2021-01-01 23:59:01+00:00,1345157615291146240,@Jeff24497817 @realjunsonchan @realDonaldTrump Vietnam is communist. Omg haha ur such a clown 🤡🤣😂,67f65fbc608d4c4
23,2021-01-01 23:58:57+00:00,1345157598614413312,"Life, idea and thoughts under Socialist and Communist countries. 
These are under control of the Governments and Parties. https://t.co/yp0hjBCwGo",BloggerSean
24,2021-01-01 23:58:56+00:00,1345157594264997888,"@realDonaldTrump Patriots know that God gave us our own mind, our own talents and our own decisions.  Dems “communist”don’t like this and want to control everything you think and do.  Game over if Dems get in this time. Insurrection act now!!  Please President Trump.",theinventorinc1
25,2021-01-01 23:58:52+00:00,1345157575361388544,#COVID19 #coronavirus ##vaccination #Communism #Trump https://t.co/HDuLpiq3dE,AwakeningTV2
26,2021-01-01 23:58:49+00:00,1345157563432771585,"@jallenyo @LauraLynnTT @realDonaldTrump Genuinely, why do you believe that is? You don’t seem to have an actual grasp of communism.",dearjulestweets
27,2021-01-01 23:58:49+00:00,1345157562174357505,"@GregMaksel @realDonaldTrump Funny you’d quote Regan and would say that. Trickle Down Economics (aka: Corporate Communism) doesn’t nor hasn’t worked for everyday, hard-working, Americans, regardless of their political affiliation.",SpookEOne1
28,2021-01-01 23:58:46+00:00,1345157551545991169,Communist London. https://t.co/g3dRYasknP,EconomicRenegad
29,2021-01-01 23:58:45+00:00,1345157547267936257,@joshtpm looks like you’re eating crow communist.,JCompasshealth
30,2021-01-01 23:58:44+00:00,1345157543778267141,@maple_moth a hot communist,Maggpeye
31,2021-01-01 23:58:40+00:00,1345157526220894208,"#BUSINESSOWNERSCHALLENGE

BUSINESS OWNERS CHALLENGE:

- post your comments at the doors and windows of your 
  business, what do you think about:

* Government transition to communism
* New World Order/UN forced Agenda 21
* Fake MSM
* Loss of free speech
* Loss of freedom https://t.co/hfrRx1kJ9f",zcstocks
32,2021-01-01 23:58:38+00:00,1345157518646005762,"@broellos @howterific @Jim_Jordan No we are partially Socialized, we have been leaning left for decades. ""Nothing for working man?"" Have you studied CCP, Russia, N Korea, Europe - anything? Yes, small business is the backbone of a nation; hence Capitalism. You want Socialism all the way? Communism follows?",ScottDu02133715
33,2021-01-01 23:58:37+00:00,1345157513298251777,"@lFPQoiyJm6XQlnO @LLinWood @realDonaldTrump The term “communist patsy” best refers to Donald Trump, whose got his hands in the pockets of the Russians 😉",RandyRiblett
34,2021-01-01 23:58:34+00:00,1345157499360600064,@DonaldJTrumpJr @realDonaldTrump Communist,EdwardC69458630
