,Datetime,Tweet Id,Text,Username
0,2021-01-01 23:59:49+00:00,1345157814545768448,@Iestynaprobert @Katharina01099 @JeffBro47421173 @BorisJohnson @Conservatives Why?,Gareth16840733
1,2021-01-01 23:59:49+00:00,1345157814029840386,@WillFiteForYou Yes because most paleos don’t. They just want their perfect state to enforce conservatism,AlekJ14
2,2021-01-01 23:59:41+00:00,1345157780500598789,"And there's only one Republican Senator to join them! One, constitutionally loyal, conservative!

MAGA Conservatives won't forget the cowardice of Mitch &amp; the 49 other so-called GOP Senators! There will soon be a Patriot's Party because of crap like this!

https://t.co/DmLth7YAm7",DFBHarvard
3,2021-01-01 23:59:37+00:00,1345157764587212800,@StefanHudson10 @themadsloth Yeah those Conservatives are something else aren't they? Anyone know where skippy Pierre Pilliviere is?,Nodilbit
4,2021-01-01 23:59:33+00:00,1345157746954362880,"Alberta Premier Kenney issues travel order for government officials - Canada News - https://t.co/NUxExlLzBB
⁦@Alberta_UCP⁩ thats it?If this was a liberal you would be screaming for a resignation.Again the conservatives show their true colors!Pathetic https://t.co/zMWeoXgHej",sum_mer58
5,2021-01-01 23:59:32+00:00,1345157741833310208,"Comprehensive List of Everything the Political Party Representing the Conservatives has ‘Conserved’:
...",JasonRumley_
6,2021-01-01 23:59:30+00:00,1345157733478236160,@garr1simms @MrsC_831 @JudiciaryGOP @SpeakerPelosi Agender also exists. Your solution doesn’t fix the problem of people refusing to acknowledge transgender people. It essentially allows the state to determine which gender you are. Don’t conservatives hate it when the state tells you what to do or something?,ianphil80690662
7,2021-01-01 23:59:28+00:00,1345157726721220609,"@realDonaldTrump By ""the People"" he mean white evangelical conservatives and nationalists. Because apparently it's totally cool to disenfranchise everyone else. That guy looks like he was made from a Hitler youth poster in a Weird Science movie.",JasonLG1979
8,2021-01-01 23:59:22+00:00,1345157702050316294,@WSinkevich My finger is pointed directly at conservatives. They make it impossible.,NikaDragomira
9,2021-01-01 23:59:18+00:00,1345157684102746112,"@Th0risy I mean, it's kinda weird tbh. Like a pig head? really? 

Also, it seems to be fake, since ""we want everything!"" is exactly what the conservatives portray us as and not something anybody with half a brain cell would write.",AmtrakPeepo
10,2021-01-01 23:59:17+00:00,1345157680705503234,"@BrandonLewis Yes there is: both the #IrishSeaBorder and the lies of #Johnson and the @conservatives on the subject will be part of the #Tory legacy. Happy New Year. 

https://t.co/T8payswvDp",elizabethf100
11,2021-01-01 23:59:11+00:00,1345157654348509185,@jcrgordon5 @Pace1013 @Conservatives Yeh those 27 countries have like 10k vaccines on the way to each of them. Where at something like 1 million administered already in the UK. Thanks to us plebs 😁&amp; the conservatives. Your welcome,urban_uk
12,2021-01-01 23:59:07+00:00,1345157636615000067,"@Mpawlz1 @Ashlandian Lets say you’re right here, that wouldnt make up for the other conservatives/the conservative ideology in general: it would be an outlier.",leftboye
13,2021-01-01 23:59:06+00:00,1345157635981647877,"Posted 2018, how the Conservatives spy &amp; terror networks, stage the terrorism entrapment for homeless Rodney using one off its terror cell. Trudeau, Toronto, Ontario in lockdown, Ontario gets moderna vaccines, Canada get more vaccines, Ford, Israel, ISIS, RCMP, OPP, FBI, UK, CIA https://t.co/SgT7zJplmY",homelesman
14,2021-01-01 23:58:49+00:00,1345157564070305793,@JoyAnnReid @funder Conservatives?!IDK liberals that would dress like that. Fumigation stat!,jlg718
15,2021-01-01 23:58:38+00:00,1345157518905860097,"@albericie @MichaelWestBiz Interesting.

I wonder why he didn't identify why so many have lost faith in our national broadcaster?

Surely the blatant left leanings and activism of the ABC has shut its doors on conservatives increasing traffic to Murdoch?",BurtdoErnie
