,Datetime,Tweet Id,Text,Username
0,2021-01-01 23:59:28+00:00,1345157728260550656,@acatcalledkeith Leader of a democratic socialism political party!,hants_hippy
1,2021-01-01 23:58:30+00:00,1345157481836777472,@ptrish1969 @caroledwine @ConanOBrien Yeah but that’s not Communism that Democratic Socialism big difference,BleulerMichael
2,2021-01-01 23:58:17+00:00,1345157429512777729,@Unironic_AnCap My understanding is that it’s progressive rebranding of “democratic socialism.” Not something to be excited for.,AutonomousZone1
3,2021-01-01 23:58:08+00:00,1345157390996537348,"@buttonfly42 While DSA has a more traditionally Marxist view of socialism state/federal governments the 30s-70s were filled with &amp; sometimes dominated by folks with a social democratic governing philosophy that would certainly be labeled ""socialism"" by conservatives, centrists &amp; pundits today",QueensDSA
4,2021-01-01 23:56:13+00:00,1345156907984629761,"@EveradS @pureequinox @NikkiHaley Social democracy is socialism, or democratic-socialism. Remember it was born in Europe, and they mean the same thing in Europe",Rui_Claudino
5,2021-01-01 23:53:58+00:00,1345156342730919936,"@ItsYaBoiYungIan @twit55811 Supercapitalism is just socialism with a different name (believe it or not, socialism was specifically designed to work best in a democratic system)",CarmineSergal
6,2021-01-01 23:51:05+00:00,1345155617107947541,"@AOC You would get more traction if you termed your view of government as ""Social Democracy"" rather than ""Democratic Socialism."" Let Democracy be the primary identifier and Social be the descriptor, rather than vice versa.",rabbriansamuel
7,2021-01-01 23:50:27+00:00,1345155458315653120,@tsinlagat @lucadagruma I don’t think that’s contradictory with the article. The author says that the (albeit often forgotten) distinction between social democracy and democratic socialism is that ultimate vision of the latter is an end to global capitalism.,shmez0
8,2021-01-01 23:50:07+00:00,1345155371590176768,@jambamthnkyadan @V1887Vd @AOC Democratic socialism just means the community chooses to elect officials to do the means of regulation.,Individual_1ne
9,2021-01-01 23:48:56+00:00,1345155075946258437,@LindseyGrahamSC Yes. It is. Democratic socialism works.,SherriTelenko
10,2021-01-01 23:47:42+00:00,1345154764858773504,"@DragonGirl1919 @ValentinesNigh2 @Fracking_Cunt Marxism has many perspectives as well, but the common democratic socialism form is quite compatible with anarchism. In fact, I think they complement each other.",JohnnyPistola
11,2021-01-01 23:22:55+00:00,1345148529094737922,@conoroperson “Democratic Socialism”,influenzation
12,2021-01-01 23:16:04+00:00,1345146805135278082,"@AOC Socialism is not a dirty word. By conservative logic The Democratic Peoples Republic of North Korea is the only example of what a Democratic Republic could possibly be, and yes they have elections in North Korea",NelanTorrie
13,2021-01-01 23:15:38+00:00,1345146693839450119,"This is great! That said, I wish the left would rebrand as “Conscious Capitalists” rather than “Democratic Socialists” That one word instantly turns off tens of millions of Americans who’d actually agree on policy. In reality not a single democrat is truly proposing socialism https://t.co/BclEwhkzxE",The_Xsport
14,2021-01-01 23:14:34+00:00,1345146425080999938,"@DougSt3v3ns @forshumsangt @markp1950 @manifesto2000 @AndreaAlbion @brbrophy15 @GGreeneJr @HankModerate @CancelWar @incawarrior @DanCady @thezambologist @salmacezanne @Oldguy44303901 @HawkEye02723358 @tomkwill @wisermann @Michael12895273 @YourFriendZippy @wherepond @combatjew @sweposten @AndreaKhne1 @Jhiken5220 @IreadMad @cyanbutterfly @revetje @BanulGrandier @Just_anIsraeli @Coopfromdurham @TheGhostofElec1 @MasalaFry69 @meNabster @Th2shay @Valkyrie_77 @nair_jitin @Sailinangel @zoolooy @weareafreeworld @DJSiri @richard_jlucas @Sitkevicz966 @40_Ronda @LinaSalem20 @ifamericansknew @WizBish @Evie_Calling @CommunityBankCa @publicbanking @HerbWiseman Socialism is 0 if not democratic, opposite of a police state, so what are you saying? You're parroting globalist narratives, like Biden (""I'M NOT A SOCIALIST""--the only honest thing he's ever said). Bolsheviks aside, Dems are neolibs, not socialists. What's your def of socialism?",MsQuitoSwarm
15,2021-01-01 23:13:44+00:00,1345146217672556544,@LindseyGrahamSC Necessary democratic socialism. Just like farm subsidies...and bank bailouts...and infrastructure...and food stamps...and and and. We've been a socialist nation for decades. Embrace it. You most likely already do.,joe_mama_besser
16,2021-01-01 23:12:32+00:00,1345145916739649536,@AOC Isn't it funny that all these GOP and trumpers r all against welfare ssi ssdi ect until they or a family member needs it then democratic socialism is a ok? As long as it's them getting aide and not u.,LindaDa47291003
17,2021-01-01 23:12:28+00:00,1345145900717391872,"@LindseyGrahamSC Wrong Lady-G, it is Socialism. There’s nothing wrong with Democratic Socialism mixed with well regulated capitalism. Conservatism is evil, leaving people in need to fend for themselves is a hateful philosophy",RafielResists
18,2021-01-01 23:11:37+00:00,1345145685566492678,@AOC The American people would probably be surprised how good a little (Democratic) socialism might feel.  The last time they had a very watered down version of it (the ACA) they realized they actually liked it better than dying from lack of health insurance...  who knew?,Trendar
19,2021-01-01 23:11:29+00:00,1345145651005415426,"@PrimordialRelic @MrBenTweetss @LoganRiddimDion @SujMaPa @PinkWug Remember that most people are of the opinion that triumphant socialism will still use money for most of the foreseeable future. Many don’t feel like we can or even ought to move past capital at all.

For the now, a more democratic capitalism is smth socialism can deliver.",BrenoColares5
20,2021-01-01 23:09:30+00:00,1345145152260562944,@BreitbartNews This is a billboard for socialism/communism coming to a city close to you if you don’t stop the leftist Democratic Party in your home town.,dvarga10
21,2021-01-01 23:08:52+00:00,1345144993883824130,"@AOC What you call socialism has pretty much nothing to do with socialism, it is called social-democratic.",V1887Vd
22,2021-01-01 23:07:56+00:00,1345144759468187648,"@nicksSG @SteveWorks4 @Kenny_Sowellfan @realDonaldTrump orwell believed everything except democratic socialism led directly to authoritarianism, while democratic socialism could still lead to authoritarianism. he also believed that capitalism would die in the west soon after he wrote 1984. he was wrong. that doesnt mean that -",JakeHagen02
23,2021-01-01 23:05:45+00:00,1345144209293139975,"@Kanew Here in rural Gibson Co. TN, I don’t recall letters to the editor in our local papers in 2020 from Democratic Party spokespersons, or advocating the party’s goals. We see letters/columns endlessly  repeating right wing, boogeyman talking points (radical left, socialism, etc.)",steveshort70
24,2021-01-01 22:57:51+00:00,1345142222103085058,"@TinaMWhite3 @flailer777 @BernieSanders I think you said it well.  Bernie uses the term ""Democratic-socialism"", but he knows that free enterprise (regulated fairly) goes along with that.  The People are more the ""rulers"" with DEMOCRATIC-socialism and the Gov't does not own the means of production...",julieannayoga
25,2021-01-01 22:57:20+00:00,1345142090947149824,"@Br1anna_Coyle Unionized Cooperatives and Democratic Socialism. 
I think there are trolls in the MAGA crowd.",IDJoe4Congress
26,2021-01-01 22:56:10+00:00,1345141795915706371,"@Matilde_Aguirre @marcorubio @HawleyMO Tyranny, lawlessness and fraud are what you’re hoping for. It’s about time everyone who supports trump remaining in office illegally, is a supporter of dictatorships &amp; socialism by overthrowing a fairly elected president. You have no respect for the democratic process. #traitors",cleanairbobjon1
27,2021-01-01 22:53:50+00:00,1345141209342169088,@Midwest_Leftist Mfs are calling democratic socialism “super capitalism” now :/,TypeONescence
28,2021-01-01 22:52:38+00:00,1345140907922878467,People who complain about democratic socialism don’t realize we live in corporate socialism.....But some do..... https://t.co/OMty5AiaYt,slap1388
29,2021-01-01 22:52:29+00:00,1345140870836875266,People who complain about democratic socialism don’t realize we live in corporate socialism.....But some do..... https://t.co/AyuknMIX00,slap1388
30,2021-01-01 22:47:09+00:00,1345139529334677504,@RowanMarxFilms @AltGlasses He just explained democratic socialism and called it super capitalism. Dumbest shit ever,TypeONescence
31,2021-01-01 22:44:56+00:00,1345138969336401921,@SmoothMoxie @RiTeeny @LindseyGrahamSC The meaning of socialism has been lost and can mean “basically communist” or your basic democratic first world country. There is no evidence that basic government programs lead to authoritarianism or communism. The inverse is true though - desperate ppl destabilize governments,RoseSymotiuk
32,2021-01-01 22:41:47+00:00,1345138176516505600,"@PrivatSkoolOnly @communikatzz @yourcomradetony @DrDooleyMD @remrkblyrandom You're describing a social democracy, not democratic socialism",themasternelson
