,Datetime,Tweet Id,Text,Username
0,2021-01-01 23:59:54+00:00,1345157835479515137,@KennardJohnWm @ChrisCuomo In your tweet you are referring to Trump. I’m more concerned about the left and the violence that follows them with the liberal media encouraging them to bring violence.,DennyBergin
1,2021-01-01 23:59:51+00:00,1345157821948686339,https://t.co/aCf6ddvKFa. I'M SURE THIS JUDGE IS A LIBERAL POS,huerfanit77
2,2021-01-01 23:59:50+00:00,1345157817418838017,@BarbaraBilbrey @jimdoe68925638 @john606sc @centrright4trmp The left the liberals are dividing this country you don’t know me don’t judge me united we stand divided we fall.,GlendaG76552756
3,2021-01-01 23:59:49+00:00,1345157814860316677,@mike_wanaoni @TeamTrump @realDonaldTrump Just so you understand I’ll write slow. The indoctrination propaganda media owned by China Russia and all the Communist countries who hate the restrictions Mr. Trump has given them. The negative smear campaign proves there are more ignorant Americans than liberals!,JuliaCaplick
4,2021-01-01 23:59:46+00:00,1345157803011411968,@FogCityMidge @SpeakerPelosi It’s very thoughtful of the vandal not to over spray on any of the bricks. That’s proof a liberal is responsible.,Cons_MAGA
5,2021-01-01 23:59:43+00:00,1345157790856216576,"Every liberal man getting an mRNA vaccine for a cold straight into their penis is actually pretty hilarious.

I guess 2020 was just a set up for an epic 2021 punchline. https://t.co/G5x8PlXCXM",RPEnheim
6,2021-01-01 23:59:39+00:00,1345157773407920129,@DrJack84768529 @TeamTrump @TrumpWarRoom @realDonaldTrump Not delusional....how can you  morally support activities that clearly “fixed” the election? How much evidence do you need or will you win ANY way possible because you (liberals) knew there was  NO chance without illegal shenanigans ?,JeanHogan
7,2021-01-01 23:59:39+00:00,1345157771830980609,"Harta gente dizque ""liberal"" (léase de derecha) sensible o preocupada sobre cómo vigilará el Estado a quienes regresen del exterior. Simple, firma de responsabilidad y herramientas de seguimiento. Todo lo demás es irresponsabilidad y dependencia a la mano dura. ¿Qué raro no?",herlessmiguel
8,2021-01-01 23:59:36+00:00,1345157761320030208,"Totally. Tories are a morality free shambles of clueless entitled and greedy 3rd raters and @UKLabour are a neo liberal non opposition with no ideas except supporting the Tories, supporting capitalism at any cost, being anti union and waving that fucking flag about like its 1869! https://t.co/W9GOSR1biD",john_johnsenior
9,2021-01-01 23:59:33+00:00,1345157746954362880,"Alberta Premier Kenney issues travel order for government officials - Canada News - https://t.co/NUxExlLzBB
⁦@Alberta_UCP⁩ thats it?If this was a liberal you would be screaming for a resignation.Again the conservatives show their true colors!Pathetic https://t.co/zMWeoXgHej",sum_mer58
10,2021-01-01 23:59:29+00:00,1345157730567417866,"yall know what i read when i see this argument from white liberals

""don't talk back to me or else my white supremacist skinfolk will come for your people even harder than they already do and put you back in the place you belong""

shit is a threat https://t.co/c0J4hBkoSf",theblvckhorned
11,2021-01-01 23:59:27+00:00,1345157720823906309,"@GuerraHistorias @VULGAOTT @muitohumillde Discordo, tem uma ala trabalhista que, embora sem holofotes e bem enfraquecida, ainda é justa, honesta e busca o melhor, sem ceder a preconceitos antiquados enquanto faz isso. O PCO é o que tem de pior na esquerda, ele e o PT/PSOL, que são esquerda liberal. Precisamos de reforma.",Drekkkkkkkkkkkk
12,2021-01-01 23:59:26+00:00,1345157717405519872,"Don Winslow speaks the truth! Even if you hate us liberals, do you really mean to act on it?

All we want is world devoid of division and hate. And the people of the far-right are hurting are not just us, but you as well. 

When are you all gonna realize that we need peace in us? https://t.co/TPPIAcSMu2",realCoreyLord
13,2021-01-01 23:59:25+00:00,1345157715857977344,"@MeidasTouch Lin Wood *really* owned the libs with that speech, didn’t he... 🙄🤦🏻‍♀️ #RepublicansAreTheProblem",senseidai
14,2021-01-01 23:59:25+00:00,1345157713588842497,@_Red_Scare_ Class reductionist socialists are worse than liberals on these issues.,DengistKahmpism
15,2021-01-01 23:59:20+00:00,1345157692382351360,@yuki_study_168 @niania_uts だって鉄と東進に……,Liberal_arts__
16,2021-01-01 23:59:20+00:00,1345157692101337090,Waleed Aly cancelling the cancellers in Woke politics and power: How liberalism’s blind spot let cancel culture bloom | The Monthly  https://t.co/0vkyM0eeks,josephlobianco
17,2021-01-01 23:59:18+00:00,1345157682781679620,"@dbongino Libs maybe losing their minds, but the citizens are losing their houses, their ability to afford food, let alone losing our lives!And instead of mr president stepping up and controlling Mitch over a $2000 one time payment, he’d rather be tweeting!Great way to hand over the senate",sharon13146324
18,2021-01-01 23:59:13+00:00,1345157662271483907,@Breaking911 @iammix24 Don’t doubt it with the crap liberal leaders in NY! Look at every democrat run state versus conservatively run ones!,HomesleyDebbie
19,2021-01-01 23:59:12+00:00,1345157657745879040,"Lol, the libs are at it again folks! https://t.co/qVkliU0uGP",ProbMills
20,2021-01-01 23:59:11+00:00,1345157656420491264,"If the economy is so bad and millions of Americans are ""facing eviction"" and ""1% of Americans own over 50% of the wealth"" and ""2/3 of Americans are living paycheck to paycheck"" then how do you explain THIS, libs? https://t.co/HK6pyTYigr",yoncapone
21,2021-01-01 23:59:10+00:00,1345157649504100356,@SensIdiota Então mas não és liberal?,Joao__Serra
