,Datetime,Tweet Id,Text,Username
0,2021-01-01 23:59:58+00:00,1345157851090735111,Op-ed: Progressive white women - listen up | Progress Texas ... please please get this horrid stupidity syndrome erased! Women are usually the smart compassionate moral inclusive faction of the voting block! Whatever the reason for Drumpf support is..STOP! https://t.co/CzBHzWlmMG,criteria681
1,2021-01-01 23:59:57+00:00,1345157847408115713,"@davidulin @TheLincoln Recently, certain so-called ""progressives"" have hogged up the oxygen that belongs to quality progressives, many of whom have been around practically forever. Looking for better progressives? Look here. https://t.co/fimFNT1hXX",NewscastNow
2,2021-01-01 23:59:56+00:00,1345157843691794433,"Thank you, @jimmy_dore, for being the true voice of American Progressives. If we ever catch up to the rest of the civilized world and get #M4All, you will have played a crucial role in that achievement. https://t.co/1Czycbsdcp #ForceTheVote",wlsalyers
3,2021-01-01 23:59:53+00:00,1345157831826100224,@ThePriceSicard @AlanRMacLeod My favorite progressives are those that abandon ideals if they don’t benefit.,BryceVegas702
4,2021-01-01 23:59:38+00:00,1345157767808638976,@TelepathicBunny Yeah and every commercial is nothing but far left wing progressive(divisive)propaganda.,jeffrlasley
5,2021-01-01 23:59:30+00:00,1345157736191979520,@thehill @TheHillOpinion Media wrong nothing new; in “rush for ratings”-be FIRST to REPORT-more concerned with ratings=money vs accuracy. Picture above speaks volumes re: why Dems failed to “clean house”-Middle America sees this-concerned bc they equate unrest with “progressive”-vote GOP. UNFAIR but true,quickthink99
6,2021-01-01 23:59:29+00:00,1345157732773498880,@Susan__Brown @miserablelib @YouTube “Home of progressives” didn’t advertise about the town hall even once out of spite it’s not about them. Now cenk is waiting for any excuse to say why he’s on the wrong side of this.,codyrainbear
7,2021-01-01 23:59:13+00:00,1345157661613051907,@pocothunder @meimingzi404 @LLinWood You https://t.co/s0Pu8r0eeP,Progressive_RN
8,2021-01-01 23:59:07+00:00,1345157639240622082,@realspencergray That’s silly. Tweets like this undermine the credibility of progressives. The stock market is how companies get capital. Now you sound like a communist or something.,pamwallace
9,2021-01-01 23:58:44+00:00,1345157542788231168,@alexkotch @kthalps @ZeeshanAleem Ya mean when identity politics is used as a weapon against progressives,yaelisa1111
10,2021-01-01 23:58:39+00:00,1345157521586184193,@DavidSandbeck @Timmo314 @BenBurgis The freedom caucus won that because they became a majority of the Republican caucus. The same would happen for progressives if they become the majority. It has nothing to do with hard nosed tactics.,gwiech
11,2021-01-01 23:58:35+00:00,1345157503345111040,"My political mantra for the year, win some progressive primaries then win those generals",OrganizerMemes
12,2021-01-01 23:58:33+00:00,1345157494981668865,@natty33qwest @andrewdouglass @cateother @drvolts I wasn’t sure.I used to live in Chicago. Bike can be dangerous. I’ve done it there. Once again my point back to this whole purpose is to get people talking about it instead of excepting the status quo. I think many progressives are persecuting their brethren for not being perfect,ecofuturenow
13,2021-01-01 23:58:17+00:00,1345157429512777729,@Unironic_AnCap My understanding is that it’s progressive rebranding of “democratic socialism.” Not something to be excited for.,AutonomousZone1
14,2021-01-01 23:58:06+00:00,1345157384696705028,"Mo’ Reviews: ‘Hollywood’ Is A Naive, Yet Well-Meaning White Progressive Fantasy https://t.co/s29cifCbya",moniqueblognet
15,2021-01-01 23:57:48+00:00,1345157308624453632,@davidsirota @TheDemocrats will continue to fail us moving forward. We need to fully support the #PeoplesParty and create a truly progressive party. #demexit #M4A #GreenNewDeal,adreamoflies
16,2021-01-01 23:57:48+00:00,1345157306665885697,"@EnglishmanAbrod @theangiestanton I'm a far left progressive, and I absolutely think that is a possible option. Do you think he hung himself? Because no one in their right mind, thinks Epstein killed himself.",RyanBorgerMusic
17,2021-01-01 23:57:19+00:00,1345157185022668800,"@g_meslin @alexbozikovic Ouch, Jane was ruthless!  I’d like to think planning professionals on both sides of the counter have become much more progressive since she wrote this.",AdrianCammaert
18,2021-01-01 23:57:13+00:00,1345157162100776960,@NASTYAPHRODITE hes kinda funny 🙄 no but i think he had some progressive ideas in one of the early seasons or smth and lizzie just wasnt getting it,25lambs
19,2021-01-01 23:57:13+00:00,1345157160049717249,"Enjoying sounds of ""Tribute to Balearic Music - Progressive Mix"" by @DarkmelodicDJ #nowplaying on https://t.co/GNYOEawyaf",BabaArmaan
20,2021-01-01 23:56:56+00:00,1345157087987433474,"It is very important to unserious, faux-progressive folks to deflect to personality and tone. https://t.co/pvpxTbMuiP",GrumpyO53526418
21,2021-01-01 23:56:53+00:00,1345157076561981441,"If this fucking idiot douchebag can run and win a congressional seat we need more sane, principled, and YOUNG progressives running for office https://t.co/yNYRyaY0nT",mitchy_reid
22,2021-01-01 23:56:37+00:00,1345157010455728136,"@4gotmymeds Thank youuuuuu
I also feel accomplished when I wear a coat in cold weather or bring an umbrella when it’s raining",Progressive_RN
23,2021-01-01 23:56:31+00:00,1345156985071742982,@AaronBastani @catherinebuca Oh look. Labour's eating itself again. Meanwhile those of us who aren't Blairites or Corbynites and just want a functioning progressive party to oppose the massive vessels of corrupt grease that are running the country are left with this puss ridden corpuscle of a party instead.,stuafcb
24,2021-01-01 23:56:25+00:00,1345156960103096320,@lucadagruma @leelamh I do agree that progressive is useless but also it says nothing. It has the word progress in it. Anyone can want progress. Pelosi can totally call herself that if she claims she wants progress. So yeah it's a bad term,tsinlagat
25,2021-01-01 23:56:17+00:00,1345156924459933696,"@HNIJohnMiller The other good news?

They have no clue yet the sheer hell the Biden Administration is going to have getting anything done without begging.  Not only are they academic-incompetent, both 75 million anti-Biden voters PLUS liberal progressives distrust the aged, fumbling old fool.",UncleWillie631
26,2021-01-01 23:56:15+00:00,1345156917656760320,@SalNan43784721 @freedomfairie @AlaskanCourtney I’m not a progressive busy-body sticking my nose into every local government’s business to figure out what offends me and how can these ignoramuses be controlled. The DC voters can decide for themselves whether they can abide this law or not.,uumtierney
27,2021-01-01 23:56:05+00:00,1345156873863905280,"@Crows2Crowns @Potato_Chip What would happen to all the patients if the doctors suddenly stopped working? We just can’t do that by the nature of our work. Would be nice if large physician advocacy groups started demanding real progressive change though, or at least get out of the way.",tnicholsmd
28,2021-01-01 23:56:01+00:00,1345156859905286144,@thomaschattwill This used to be common sense. Progressivism has progressed so far backward that they're now arguing against MLK's dream.,MrsMacWifey
29,2021-01-01 23:55:49+00:00,1345156809175216130,"@CaliTXMutt @wdunlap @GeorgePapa19 @Nitninnycody Yes, and you folks think you're the ""silent majority"". The US is a great company country because it has so many progressives, people that do and want change, not people holding on to the past or going backwards.",MajorBatGuano
30,2021-01-01 23:55:38+00:00,1345156760424882176,"@laurenboebert When people argue AGAINST protection, we MUST ask WHY!
The history of using firearms to defend our Republic goes back to 1776. This ability to defend one's life is much more a human right than the progressives using CITIZENS' TAXES to support illegal immigrants!",PatrioTwitha
31,2021-01-01 23:55:33+00:00,1345156742016020480,"@reesetheone1 The Neoprogressives keep telling themselves BHO ran as a left of center progressive; then became a centrist. He always was a centrist and pragmatic progressive. He didn't change; the office just reveal more of who he was. They saw what they wanted to, when they looked at him",X_subhunter_808
32,2021-01-01 23:55:21+00:00,1345156689188839431,"@NickTagliaferro https://t.co/PfC5KT9VsZ

He drew this challenger the other day too, apparently he’s a 28-year old mayor of a city in the district branding himself as the progressive challenger, but need to look more into him and redistricting could certainly impact the race significantly.",brymink15
33,2021-01-01 23:55:10+00:00,1345156646360768512,The 3:35 #Sandown looks a good race. Best horse might still be Highway One o Two but carrying top weight after not taking to fences he may need this. (or could bolt up) But i fancy The Pinkn to run a big race again. Seems progressive has a nice claimer onboard 13/2 good price.,qprluke
34,2021-01-01 23:55:04+00:00,1345156619215253506,HAHAHAHAHAHAHA not the first time it hasn’t fit a progressive movement oOP https://t.co/9GMDO5i9ST,naasbawl
35,2021-01-01 23:55:02+00:00,1345156611522744320,@JCeeRinge @KhariorOnline @PutSaltInUrEyes @SharonLeeMoon @theleftistmoon @NormOrnstein More luck and prayers I see.  We prefer hard work and progressive change.  Sorry if those concepts are outside your realm of understanding.  Maybe if you pulled yourself up by your bootstraps instead of licking the boots of our oppressors you could see it our way.,GroupThink16
36,2021-01-01 23:55:02+00:00,1345156611468185600,"@Andrewjcalhoun @GonzoVision @bxcommie @AOC Actually 90% of Dems want M4A and 70% of Americans do. If forcing a vote in the middle of a pandemic isn't the right than when is? If we don't get it now by progressive using their leverage, we will be looking at 4 to 6 years at least before we get another chance. #ForceTheVote",mkloster12
37,2021-01-01 23:54:51+00:00,1345156566350057472,"@CaffeineSociali How does it bode well for ""progressives"" who destroyed 100,000s of Alberta families during their disastrous 2015-2019 government?

No matter what happens from now until 2023, the chance of NDP ever forming government again is ZERO.

You think Albertans have forgotten? NO

#ableg",MakisMD
38,2021-01-01 23:54:39+00:00,1345156515532054531,"@DarkOne13180302 @thealmightymeh @mersenne859433 @RyanKorn6 @StoppedTheStalk @Redshoe291 @Big_Sine_312 @360_Secure @fwe1991 @TickTock2Q2Q @georgia405 @Robin_of_A @Danktastrophe @savilla369 @Anangelhasland1 @fvkthepolice @ginger_petite @SpiralDee @Jason_Middleton @AntifaRioter @RickardALG @TickTock2Q21 @youroldmancowo1 @amadeov @FoolishFox3 @SimonTVesper @AnonymousTST @Kirtaner @SchrodingersMs @kopfhunger @RADrebel43 @SteelPowerage @PumaTPG @RemindMe_OfThis I guess I was more ""shocked"" at the Church of Satan, as I thought it was as progressive as The Satanic Temple. Are they really that ass backwards (on things like secularism and reproductive rights)?",sameSorbet
39,2021-01-01 23:54:27+00:00,1345156464726437897,@mehdirhasan @BernieSanders @EdMarkey @ewarren Even though the same legislation also bans shell companies? And even though Senate Dem progressives already tried unsuccessfully to force McConnell to hold the vote on $2000 checks?,TulliusCicero43
